text_id,turn_id,sentence_id,speaker,previous_text,current_text,next_text,unit_type,extraction_confidence,source
VOF,VOF_T00001,VOF_T00001_S01,Unknown,,"What’s this, mr. Holmes?","Man, it’s witchcraft!",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00001,VOF_T00001_S02,Unknown,"What’s this, mr. Holmes?","Man, it’s witchcraft!",Where in the name of all that is wonderful did you get those names?,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00001,VOF_T00001_S03,Unknown,"Man, it’s witchcraft!",Where in the name of all that is wonderful did you get those names?,,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00002,VOF_T00002_S01,Unknown,,"Watson, would you be afraid to sleep in the same room with a lunatic.",,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00003,VOF_T00003_S01,Unknown,,"If your heart is as big as your body, and your soul as fine as your face, then I’d ask for nothing better, Oh, Jack, I implore you to give it up!",,speaker_attributed_dialogue,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00004,VOF_T00004_S01,Unknown,,"Not a sound, for your lives!",,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00005,VOF_T00005_S01,I,,"I am inclined to think— I should do so,",,speaker_attributed_dialogue,high,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00006,VOF_T00006_S01,I,,"Really, Holmes, you are a little trying at times.",,speaker_attributed_dialogue,high,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00007,VOF_T00007_S01,he,,"It is Porlock’s writing, I can hardly doubt that it is Porlock’s writing, though I have seen it only twice before.",The Greek e with the peculiar top flourish is distinctive.,speaker_attributed_dialogue,high,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00007,VOF_T00007_S02,he,"It is Porlock’s writing, I can hardly doubt that it is Porlock’s writing, though I have seen it only twice before.",The Greek e with the peculiar top flourish is distinctive.,"But if it is Porlock, then it must be something of the very first importance.",speaker_attributed_dialogue,high,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00007,VOF_T00007_S03,he,The Greek e with the peculiar top flourish is distinctive.,"But if it is Porlock, then it must be something of the very first importance.",,speaker_attributed_dialogue,high,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00008,VOF_T00008_S01,Unknown,,Who then is Porlock?,,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00009,VOF_T00009_S01,Unknown,,"Porlock, Watson, is a nom-de-plume, a mere identification mark; but behind it lies a shifty and evasive personality.","In a former letter he frankly informed me that the name was not his own, and defied me ever to trace him among the teeming millions of this great city.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00009,VOF_T00009_S02,Unknown,"Porlock, Watson, is a nom-de-plume, a mere identification mark; but behind it lies a shifty and evasive personality.","In a former letter he frankly informed me that the name was not his own, and defied me ever to trace him among the teeming millions of this great city.","Porlock is important, not for himself, but for the great man with whom he is in touch.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00009,VOF_T00009_S03,Unknown,"In a former letter he frankly informed me that the name was not his own, and defied me ever to trace him among the teeming millions of this great city.","Porlock is important, not for himself, but for the great man with whom he is in touch.","Picture to yourself the pilot fish with the shark, the jackal with the lion—anything that is insignificant in companionship with what is formidable: not only formidable, Watson, but sinister—in the highest degree sinister.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00009,VOF_T00009_S04,Unknown,"Porlock is important, not for himself, but for the great man with whom he is in touch.","Picture to yourself the pilot fish with the shark, the jackal with the lion—anything that is insignificant in companionship with what is formidable: not only formidable, Watson, but sinister—in the highest degree sinister.",That is where he comes within my purview.,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00009,VOF_T00009_S05,Unknown,"Picture to yourself the pilot fish with the shark, the jackal with the lion—anything that is insignificant in companionship with what is formidable: not only formidable, Watson, but sinister—in the highest degree sinister.",That is where he comes within my purview.,You have heard me speak of Professor Moriarty?,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00009,VOF_T00009_S06,Unknown,That is where he comes within my purview.,You have heard me speak of Professor Moriarty?,,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00010,VOF_T00010_S01,Unknown,,"The famous scientific criminal, as famous among crooks as—",,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00011,VOF_T00011_S01,Unknown,,"My blushes, Watson!",,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00012,VOF_T00012_S01,Unknown,,"I was about to say, as he is unknown to the public.",,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00013,VOF_T00013_S01,Holmes,,A touch!,A distinct touch!,speaker_attributed_dialogue,high,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00013,VOF_T00013_S02,Holmes,A touch!,A distinct touch!,"You are developing a certain unexpected vein of pawky humour, Watson, against which I must learn to guard myself.",speaker_attributed_dialogue,high,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00013,VOF_T00013_S03,Holmes,A distinct touch!,"You are developing a certain unexpected vein of pawky humour, Watson, against which I must learn to guard myself.",But in calling Moriarty a criminal you are uttering libel in the eyes of the law—and there lie the glory and the wonder of it!,speaker_attributed_dialogue,high,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00013,VOF_T00013_S04,Holmes,"You are developing a certain unexpected vein of pawky humour, Watson, against which I must learn to guard myself.",But in calling Moriarty a criminal you are uttering libel in the eyes of the law—and there lie the glory and the wonder of it!,"The greatest schemer of all time, the organizer of every deviltry, the controlling brain of the underworld, a brain which might have made or marred the destiny of nations—that’s the man!",speaker_attributed_dialogue,high,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00013,VOF_T00013_S05,Holmes,But in calling Moriarty a criminal you are uttering libel in the eyes of the law—and there lie the glory and the wonder of it!,"The greatest schemer of all time, the organizer of every deviltry, the controlling brain of the underworld, a brain which might have made or marred the destiny of nations—that’s the man!","But so aloof is he from general suspicion, so immune from criticism, so admirable in his management and self-effacement, that for those very words that you have uttered he could hale you to a court and emerge with your year’s pension as a solatium for his wounded character.",speaker_attributed_dialogue,high,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00013,VOF_T00013_S06,Holmes,"The greatest schemer of all time, the organizer of every deviltry, the controlling brain of the underworld, a brain which might have made or marred the destiny of nations—that’s the man!","But so aloof is he from general suspicion, so immune from criticism, so admirable in his management and self-effacement, that for those very words that you have uttered he could hale you to a court and emerge with your year’s pension as a solatium for his wounded character.","Is he not the celebrated author of The Dynamics of an Asteroid, a book which ascends to such rarefied heights of pure mathematics that it is said that there was no man in the scientific press capable of criticizing it?",speaker_attributed_dialogue,high,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00013,VOF_T00013_S07,Holmes,"But so aloof is he from general suspicion, so immune from criticism, so admirable in his management and self-effacement, that for those very words that you have uttered he could hale you to a court and emerge with your year’s pension as a solatium for his wounded character.","Is he not the celebrated author of The Dynamics of an Asteroid, a book which ascends to such rarefied heights of pure mathematics that it is said that there was no man in the scientific press capable of criticizing it?",Is this a man to traduce?,speaker_attributed_dialogue,high,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00013,VOF_T00013_S08,Holmes,"Is he not the celebrated author of The Dynamics of an Asteroid, a book which ascends to such rarefied heights of pure mathematics that it is said that there was no man in the scientific press capable of criticizing it?",Is this a man to traduce?,Foul-mouthed doctor and slandered professor—such would be your respective rôles!,speaker_attributed_dialogue,high,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00013,VOF_T00013_S09,Holmes,Is this a man to traduce?,Foul-mouthed doctor and slandered professor—such would be your respective rôles!,"That’s genius, Watson.",speaker_attributed_dialogue,high,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00013,VOF_T00013_S10,Holmes,Foul-mouthed doctor and slandered professor—such would be your respective rôles!,"That’s genius, Watson.","But if I am spared by lesser men, our day will surely come.",speaker_attributed_dialogue,high,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00013,VOF_T00013_S11,Holmes,"That’s genius, Watson.","But if I am spared by lesser men, our day will surely come.",,speaker_attributed_dialogue,high,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00014,VOF_T00014_S01,Unknown,,May I be there to see!,,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00015,VOF_T00015_S01,Unknown,,But you were speaking of this man Porlock.,,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00016,VOF_T00016_S01,Unknown,,"Ah, yes—the so-called Porlock is a link in the chain some little way from its great attachment.",Porlock is not quite a sound link—between ourselves.,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00016,VOF_T00016_S02,Unknown,"Ah, yes—the so-called Porlock is a link in the chain some little way from its great attachment.",Porlock is not quite a sound link—between ourselves.,He is the only flaw in that chain so far as I have been able to test it.,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00016,VOF_T00016_S03,Unknown,Porlock is not quite a sound link—between ourselves.,He is the only flaw in that chain so far as I have been able to test it.,,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00017,VOF_T00017_S01,Unknown,,But no chain is stronger than its weakest link.,,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00018,VOF_T00018_S01,Unknown,,"Exactly, my dear Watson!",Hence the extreme importance of Porlock.,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00018,VOF_T00018_S02,Unknown,"Exactly, my dear Watson!",Hence the extreme importance of Porlock.,"Led on by some rudimentary aspirations towards right, and encouraged by the judicious stimulation of an occasional ten-pound note sent to him by devious methods, he has once or twice given me advance information which has been of value—that highest value which anticipates and prevents rather than avenges crime.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00018,VOF_T00018_S03,Unknown,Hence the extreme importance of Porlock.,"Led on by some rudimentary aspirations towards right, and encouraged by the judicious stimulation of an occasional ten-pound note sent to him by devious methods, he has once or twice given me advance information which has been of value—that highest value which anticipates and prevents rather than avenges crime.","I cannot doubt that, if we had the cipher, we should find that this communication is of the nature that I indicate.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00018,VOF_T00018_S04,Unknown,"Led on by some rudimentary aspirations towards right, and encouraged by the judicious stimulation of an occasional ten-pound note sent to him by devious methods, he has once or twice given me advance information which has been of value—that highest value which anticipates and prevents rather than avenges crime.","I cannot doubt that, if we had the cipher, we should find that this communication is of the nature that I indicate.",,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00019,VOF_T00019_S01,Unknown,,"What do you make of it, Holmes?",,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00020,VOF_T00020_S01,Unknown,,It is obviously an attempt to convey secret information.,,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00021,VOF_T00021_S01,Unknown,,But what is the use of a cipher message without the cipher?,,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00022,VOF_T00022_S01,Unknown,,"In this instance, none at all.",,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00023,VOF_T00023_S01,Unknown,,Why do you say ‘in this instance’?,,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00024,VOF_T00024_S01,Unknown,,Because there are many ciphers which I would read as easily as I do the apocrypha of the agony column: such crude devices amuse the intelligence without fatiguing it.,But this is different.,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00024,VOF_T00024_S02,Unknown,Because there are many ciphers which I would read as easily as I do the apocrypha of the agony column: such crude devices amuse the intelligence without fatiguing it.,But this is different.,It is clearly a reference to the words in a page of some book.,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00024,VOF_T00024_S03,Unknown,But this is different.,It is clearly a reference to the words in a page of some book.,Until I am told which page and which book I am powerless.,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00024,VOF_T00024_S04,Unknown,It is clearly a reference to the words in a page of some book.,Until I am told which page and which book I am powerless.,,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00025,VOF_T00025_S01,Unknown,,But why ‘Douglas’ and ‘Birlstone’?,,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00026,VOF_T00026_S01,Unknown,,Clearly because those are words which were not contained in the page in question.,,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00027,VOF_T00027_S01,Unknown,,Then why has he not indicated the book?,,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00028,VOF_T00028_S01,Unknown,,"Your native shrewdness, my dear Watson, that innate cunning which is the delight of your friends, would surely prevent you from inclosing cipher and message in the same envelope.","Should it miscarry, you are undone.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
