text_id,turn_id,speaker,dialogue_text,unit_type,extraction_confidence,source
VOF,VOF_T00001,Unknown,"What’s this, Mr. Holmes? Man, it’s witchcraft! Where in the name of all that is wonderful did you get those names?",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00002,Unknown,"Watson, would you be afraid to sleep in the same room with a lunatic.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00003,Unknown,"If your heart is as big as your body, and your soul as fine as your face, then I’d ask for nothing better, Oh, Jack, I implore you to give it up!",speaker_attributed_dialogue,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00004,Unknown,"Not a sound, for your lives!",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00008,Unknown,Who then is Porlock?,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00009,Unknown,"Porlock, Watson, is a nom-de-plume, a mere identification mark; but behind it lies a shifty and evasive personality. In a former letter he frankly informed me that the name was not his own, and defied me ever to trace him among the teeming millions of this great city. Porlock is important, not for himself, but for the great man with whom he is in touch. Picture to yourself the pilot fish with the shark, the jackal with the lion—anything that is insignificant in companionship with what is formidable: not only formidable, Watson, but sinister—in the highest degree sinister. That is where he comes within my purview. You have heard me speak of Professor Moriarty?",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00010,Unknown,"The famous scientific criminal, as famous among crooks as—",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00011,Unknown,"My blushes, Watson!",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00012,Unknown,"I was about to say, as he is unknown to the public.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00014,Unknown,May I be there to see!,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00015,Unknown,But you were speaking of this man Porlock.,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00016,Unknown,"Ah, yes—the so-called Porlock is a link in the chain some little way from its great attachment. Porlock is not quite a sound link—between ourselves. He is the only flaw in that chain so far as I have been able to test it.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00017,Unknown,But no chain is stronger than its weakest link.,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00018,Unknown,"Exactly, my dear Watson! Hence the extreme importance of Porlock. Led on by some rudimentary aspirations towards right, and encouraged by the judicious stimulation of an occasional ten-pound note sent to him by devious methods, he has once or twice given me advance information which has been of value—that highest value which anticipates and prevents rather than avenges crime. I cannot doubt that, if we had the cipher, we should find that this communication is of the nature that I indicate.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00019,Unknown,"What do you make of it, Holmes?",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00020,Unknown,It is obviously an attempt to convey secret information.,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00021,Unknown,But what is the use of a cipher message without the cipher?,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00022,Unknown,"In this instance, none at all.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00023,Unknown,Why do you say ‘in this instance’?,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00024,Unknown,Because there are many ciphers which I would read as easily as I do the apocrypha of the agony column: such crude devices amuse the intelligence without fatiguing it. But this is different. It is clearly a reference to the words in a page of some book. Until I am told which page and which book I am powerless.,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00025,Unknown,But why ‘Douglas’ and ‘Birlstone’?,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00026,Unknown,Clearly because those are words which were not contained in the page in question.,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00027,Unknown,Then why has he not indicated the book?,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00028,Unknown,"Your native shrewdness, my dear Watson, that innate cunning which is the delight of your friends, would surely prevent you from inclosing cipher and message in the same envelope. Should it miscarry, you are undone. As it is, both have to go wrong before any harm comes from it. Our second post is now overdue, and I shall be surprised if it does not bring us either a further letter of explanation, or, as is more probable, the very volume to which these figures refer.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00030,Unknown,"Come, we are getting on, Watson.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00031,Unknown,"Dear me, this is very disappointing! I fear, Watson, that all our expectations come to nothing. I trust that the man Porlock will come to no harm. “‘Dear Mr. Holmes,’ he says, ‘I will go no further in this matter. It is too dangerous—he suspects me. I can see that he suspects me. He came to me quite unexpectedly after I had actually addressed this envelope with the intention of sending you the key to the cipher. I was able to cover it up. If he had seen it, it would have gone hard with me. But I read suspicion in his eyes. Please burn the cipher message, which can now be of no use to you. “‘FRED PORLOCK.’",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00032,Unknown,"After all,",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00033,Unknown,"there may be nothing in it. It may be only his guilty conscience. Knowing himself to be a traitor, he may have read the accusation in the other’s eyes.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00034,Unknown,"The other being, I presume, Professor Moriarty.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00035,Unknown,No less! When any of that party talk about ‘He’ you know whom they mean. There is one predominant ‘He’ for all of them.,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00036,Unknown,But what can he do?,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00037,Unknown,"Hum! That’s a large question. When you have one of the first brains of Europe up against you, and all the powers of darkness at his back, there are infinite possibilities. Anyhow, Friend Porlock is evidently scared out of his senses—kindly compare the writing in the note to that upon its envelope; which was done, he tells us, before this ill-omened visit. The one is clear and firm. The other hardly legible.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00038,Unknown,Why did he write at all? Why did he not simply drop it?,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00039,Unknown,"Because he feared I would make some inquiry after him in that case, and possibly bring trouble on him.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00041,Unknown,"It’s pretty maddening to think that an important secret may lie here on this slip of paper, and that it is beyond human power to penetrate it.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00043,Unknown,A somewhat vague one.,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00044,Unknown,"Let us see then if we can narrow it down. As I focus my mind upon it, it seems rather less impenetrable. What indications have we as to this book?",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00045,Unknown,None.,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00046,Unknown,"Well, well, it is surely not quite so bad as that. The cipher message begins with a large 534, does it not? We may take it as a working hypothesis that 534 is the particular page to which the cipher refers. So our book has already become a _large_ book, which is surely something gained. What other indications have we as to the nature of this large book? The next sign is C2. What do you make of that, Watson?",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00047,Unknown,"Chapter the second, no doubt.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00048,Unknown,"Hardly that, Watson. You will, I am sure, agree with me that if the page be given, the number of the chapter is immaterial. Also that if page 534 finds us only in the second chapter, the length of the first one must have been really intolerable.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00049,Unknown,Column!,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00050,Unknown,"Brilliant, Watson. You are scintillating this morning. If it is not column, then I am very much deceived. So now, you see, we begin to visualize a large book printed in double columns which are each of a considerable length, since one of the words is numbered in the document as the two hundred and ninety-third. Have we reached the limits of what reason can supply?",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00051,Unknown,I fear that we have.,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00052,Unknown,"Surely you do yourself an injustice. One more coruscation, my dear Watson—yet another brain-wave! Had the volume been an unusual one, he would have sent it to me. Instead of that, he had intended, before his plans were nipped, to send me the clue in this envelope. He says so in his note. This would seem to indicate that the book is one which he thought I would have no difficulty in finding for myself. He had it—and he imagined that I would have it, too. In short, Watson, it is a very common book.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00053,Unknown,What you say certainly sounds plausible.,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00054,Unknown,"So we have contracted our field of search to a large book, printed in double columns and in common use.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00055,Unknown,The Bible!,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00056,Unknown,"Good, Watson, good! But not, if I may say so, quite good enough! Even if I accepted the compliment for myself I could hardly name any volume which would be less likely to lie at the elbow of one of Moriarty’s associates. Besides, the editions of Holy Writ are so numerous that he could hardly suppose that two copies would have the same pagination. This is clearly a book which is standardized. He knows for certain that his page 534 will exactly agree with my page 534.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00057,Unknown,But very few books would correspond with that.,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00058,Unknown,Exactly. Therein lies our salvation. Our search is narrowed down to standardized books which anyone may be supposed to possess.,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00059,Unknown,Bradshaw!,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00060,Unknown,"There are difficulties, Watson. The vocabulary of Bradshaw is nervous and terse, but limited. The selection of words would hardly lend itself to the sending of general messages. We will eliminate Bradshaw. The dictionary is, I fear, inadmissible for the same reason. What then is left?",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00061,Unknown,An almanac!,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00062,Unknown,"Excellent, Watson! I am very much mistaken if you have not touched the spot. An almanac! Let us consider the claims of Whitaker’s Almanac. It is in common use. It has the requisite number of pages. It is in double column. Though reserved in its earlier vocabulary, it becomes, if I remember right, quite garrulous towards the end.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00063,Unknown,"Here is page 534, column two, a substantial block of print dealing, I perceive, with the trade and resources of British India. Jot down the words, Watson! Number thirteen is ‘Mahratta.’ Not, I fear, a very auspicious beginning. Number one hundred and twenty-seven is ‘Government’; which at least makes sense, though somewhat irrelevant to ourselves and Professor Moriarty. Now let us try again. What does the Mahratta government do? Alas! the next word is ‘pig’s-bristles.’ We are undone, my good Watson! It is finished!",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00064,Unknown,"We pay the price, Watson, for being too up-to-date!",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00065,Unknown,"We are before our time, and suffer the usual penalties. Being the seventh of January, we have very properly laid in the new almanac. It is more than likely that Porlock took his message from the old one. No doubt he would have told us so had his letter of explanation been written. Now let us see what page 534 has in store for us. Number thirteen is ‘There,’ which is much more promising. Number one hundred and twenty-seven is ‘is’—‘There is’ “—Holmes’s eyes were gleaming with excitement, and his thin, nervous fingers twitched as he counted the words—“‘danger.’ Ha! Ha! Capital! Put that down, Watson. ‘There is danger—may—come—very soon—one.’ Then we have the name ‘Douglas’—‘rich—country—now—at Birlstone—House—Birlstone—confidence—is—pressing.’ There, Watson! What do you think of pure reason and its fruit? If the green-grocer had such a thing as a laurel wreath, I should send Billy round for it.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00067,Unknown,"When you search a single column for words with which to express your meaning, you can hardly expect to get everything you want. You are bound to leave something to the intelligence of your correspondent. The purport is perfectly clear. Some deviltry is intended against one Douglas, whoever he may be, residing as stated, a rich country gentleman. He is sure—‘confidence’ was as near as he could get to ‘confident’—that it is pressing. There is our result—and a very workmanlike little bit of analysis it was!",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00069,Unknown,"If you said ‘hope’ instead of ‘fear,’ it would be nearer the truth, I’m thinking, Mr. Holmes,",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00070,Unknown,"Well, maybe a wee nip would keep out the raw morning chill. No, I won’t smoke, I thank you. I’ll have to be pushing on my way; for the early hours of a case are the precious ones, as no man knows better than your own self. But—but—",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00071,Unknown,Douglas!,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00072,Unknown,"Birlstone! What’s this, Mr. Holmes? Man, it’s witchcraft! Where in the name of all that is wonderful did you get those names?",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00073,Unknown,"What’s this, Mr. Holmes? Man, it’s witchcraft! Where in the name of all that is wonderful did you get those names?",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00074,Unknown,It is a cipher that Dr. Watson and I have had occasion to solve. But why—what’s amiss with the names?,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00077,Unknown,You don’t seem surprised.,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00078,Unknown,"Interested, Mr. Mac, but hardly surprised. Why should I be surprised? I receive an anonymous communication from a quarter which I know to be important, warning me that danger threatens a certain person. Within an hour I learn that this danger has actually materialized and that the person is dead. I am interested; but, as you observe, I am not surprised.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00081,Unknown,"The papers will be full of the Birlstone mystery in a day or two; but where’s the mystery if there is a man in London who prophesied the crime before ever it occurred? We have only to lay our hands on that man, and the rest will follow.",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00082,Unknown,"No doubt, Mr. Mac. But how do you propose to lay your hands on the so-called Porlock?",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00083,Unknown,"Posted in Camberwell—that doesn’t help us much. Name, you say, is assumed. Not much to go on, certainly. Didn’t you say that you have sent him money?",dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
VOF,VOF_T00084,Unknown,Twice.,dialogue_candidate,review,Project Gutenberg #3289 - The Valley of Fear
