turn_idx,manual_label
12,fear
11,anger
11,disgust
17,anger
3,disgust
9,anger
15,disgust
4,fear
0,joy
11,anger
6,anger
2,neutral
9,surprise
9,neutral
12,anger
2,anger
1,neutral
6,joy
22,surprise
5,joy
0,joy
18,surprise
13,surprise
0,joy
8,joy
20,surprise
2,joy
1,surprise
4,anger
10,surprise
10,neutral
6,neutral
20,anger
5,neutral
0,surprise
16,sadness
16,anger
9,fear
8,surprise
0,surprise
2,sadness
8,joy
2,surprise
7,anger
3,disgust
4,surprise
3,surprise
21,anger
9,disgust
5,sadness
