text_id,turn_id,sentence_id,speaker,current_text,pattern,fragment,start_position,end_position,suggested_spacing,decision,review_notes
VOF,VOF_T00009,VOF_T00009_S04,Unknown,"Picture to yourself the pilot fish with the shark, the jackal with the lion—anything that is insignificant in companionship with what is formidable: not only formidable, Watson, but sinister—in the highest degree sinister.",missing_space_after_em_dash,n—a,74,77,,,
VOF,VOF_T00009,VOF_T00009_S04,Unknown,"Picture to yourself the pilot fish with the shark, the jackal with the lion—anything that is insignificant in companionship with what is formidable: not only formidable, Watson, but sinister—in the highest degree sinister.",missing_space_after_em_dash,r—i,189,192,,,
VOF,VOF_T00013,VOF_T00013_S04,Holmes,But in calling Moriarty a criminal you are uttering libel in the eyes of the law—and there lie the glory and the wonder of it!,missing_space_after_em_dash,w—a,79,82,,,
VOF,VOF_T00013,VOF_T00013_S05,Holmes,"The greatest schemer of all time, the organizer of every deviltry, the controlling brain of the underworld, a brain which might have made or marred the destiny of nations—that’s the man!",missing_space_after_em_dash,s—t,169,172,,,
VOF,VOF_T00013,VOF_T00013_S09,Holmes,Foul-mouthed doctor and slandered professor—such would be your respective rôles!,missing_space_after_em_dash,r—s,42,45,,,
VOF,VOF_T00016,VOF_T00016_S01,Unknown,"Ah, yes—the so-called Porlock is a link in the chain some little way from its great attachment.",missing_space_after_em_dash,s—t,6,9,,,
VOF,VOF_T00016,VOF_T00016_S02,Unknown,Porlock is not quite a sound link—between ourselves.,missing_space_after_em_dash,k—b,32,35,,,
VOF,VOF_T00018,VOF_T00018_S03,Unknown,"Led on by some rudimentary aspirations towards right, and encouraged by the judicious stimulation of an occasional ten-pound note sent to him by devious methods, he has once or twice given me advance information which has been of value—that highest value which anticipates and prevents rather than avenges crime.",missing_space_after_em_dash,e—t,234,237,,,
VOF,VOF_T00031,VOF_T00031_S05,Unknown,It is too dangerous—he suspects me.,missing_space_after_em_dash,s—h,18,21,,,
VOF,VOF_T00037,VOF_T00037_S04,Unknown,"Anyhow, Friend Porlock is evidently scared out of his senses—kindly compare the writing in the note to that upon its envelope; which was done, he tells us, before this ill-omened visit.",missing_space_after_em_dash,s—k,59,62,,,
VOF,VOF_T00052,VOF_T00052_S02,Unknown,"One more coruscation, my dear Watson—yet another brain-wave!",missing_space_after_em_dash,n—y,35,38,,,
VOF,VOF_T00052,VOF_T00052_S07,Unknown,"He had it—and he imagined that I would have it, too.",missing_space_after_em_dash,t—a,8,11,,,
VOF,VOF_T00065,VOF_T00065_S11,Unknown,"‘There is danger—may—come—very soon—one.’ Then we have the name ‘Douglas’—‘rich—country—now—at Birlstone—House—Birlstone—confidence—is—pressing.’ There, Watson!",missing_space_after_em_dash,r—m,15,18,,,
VOF,VOF_T00065,VOF_T00065_S11,Unknown,"‘There is danger—may—come—very soon—one.’ Then we have the name ‘Douglas’—‘rich—country—now—at Birlstone—House—Birlstone—confidence—is—pressing.’ There, Watson!",missing_space_after_em_dash,y—c,19,22,,,
VOF,VOF_T00065,VOF_T00065_S11,Unknown,"‘There is danger—may—come—very soon—one.’ Then we have the name ‘Douglas’—‘rich—country—now—at Birlstone—House—Birlstone—confidence—is—pressing.’ There, Watson!",missing_space_after_em_dash,e—v,24,27,,,
VOF,VOF_T00065,VOF_T00065_S11,Unknown,"‘There is danger—may—come—very soon—one.’ Then we have the name ‘Douglas’—‘rich—country—now—at Birlstone—House—Birlstone—confidence—is—pressing.’ There, Watson!",missing_space_after_em_dash,n—o,34,37,,,
VOF,VOF_T00065,VOF_T00065_S11,Unknown,"‘There is danger—may—come—very soon—one.’ Then we have the name ‘Douglas’—‘rich—country—now—at Birlstone—House—Birlstone—confidence—is—pressing.’ There, Watson!",missing_space_after_em_dash,h—c,78,81,,,
VOF,VOF_T00065,VOF_T00065_S11,Unknown,"‘There is danger—may—come—very soon—one.’ Then we have the name ‘Douglas’—‘rich—country—now—at Birlstone—House—Birlstone—confidence—is—pressing.’ There, Watson!",missing_space_after_em_dash,y—n,86,89,,,
VOF,VOF_T00065,VOF_T00065_S11,Unknown,"‘There is danger—may—come—very soon—one.’ Then we have the name ‘Douglas’—‘rich—country—now—at Birlstone—House—Birlstone—confidence—is—pressing.’ There, Watson!",missing_space_after_em_dash,w—a,90,93,,,
VOF,VOF_T00065,VOF_T00065_S11,Unknown,"‘There is danger—may—come—very soon—one.’ Then we have the name ‘Douglas’—‘rich—country—now—at Birlstone—House—Birlstone—confidence—is—pressing.’ There, Watson!",missing_space_after_em_dash,e—H,103,106,,,
VOF,VOF_T00065,VOF_T00065_S11,Unknown,"‘There is danger—may—come—very soon—one.’ Then we have the name ‘Douglas’—‘rich—country—now—at Birlstone—House—Birlstone—confidence—is—pressing.’ There, Watson!",missing_space_after_em_dash,e—B,109,112,,,
VOF,VOF_T00065,VOF_T00065_S11,Unknown,"‘There is danger—may—come—very soon—one.’ Then we have the name ‘Douglas’—‘rich—country—now—at Birlstone—House—Birlstone—confidence—is—pressing.’ There, Watson!",missing_space_after_em_dash,e—c,119,122,,,
VOF,VOF_T00065,VOF_T00065_S11,Unknown,"‘There is danger—may—come—very soon—one.’ Then we have the name ‘Douglas’—‘rich—country—now—at Birlstone—House—Birlstone—confidence—is—pressing.’ There, Watson!",missing_space_after_em_dash,e—i,130,133,,,
VOF,VOF_T00065,VOF_T00065_S11,Unknown,"‘There is danger—may—come—very soon—one.’ Then we have the name ‘Douglas’—‘rich—country—now—at Birlstone—House—Birlstone—confidence—is—pressing.’ There, Watson!",missing_space_after_em_dash,s—p,133,136,,,
VOF,VOF_T00067,VOF_T00067_S06,Unknown,There is our result—and a very workmanlike little bit of analysis it was!,missing_space_after_em_dash,t—a,18,21,,,
VOF,VOF_T00070,VOF_T00070_S04,Unknown,But—but—,missing_space_after_em_dash,t—b,2,5,,,
VOF,VOF_T00074,VOF_T00074_S02,Unknown,But why—what’s amiss with the names?,missing_space_after_em_dash,y—w,6,9,,,
VOF,VOF_T00079,VOF_T00079_S01,he,"I was going down to Birlstone this morning, I had come to ask you if you cared to come with me—you and your friend here.",missing_space_after_em_dash,e—y,93,96,,,
VOF,VOF_T00083,VOF_T00083_S01,Unknown,Posted in Camberwell—that doesn’t help us much.,missing_space_after_em_dash,l—t,19,22,,,
VOF,VOF_T00102,VOF_T00102_S01,Unknown,"Very fine—very handsome indeed, mr. Holmes.",missing_space_after_em_dash,e—v,8,11,,,
VOF,VOF_T00108,VOF_T00108_S03,Unknown,"Yes, I saw the picture—a young woman with her head on her hands, peeping at you sideways.",missing_space_after_em_dash,e—a,21,24,,,
VOF,VOF_T00116,VOF_T00116_S01,Holmes,"All knowledge comes useful to the detective, Even the trivial fact that in the year 1865 a picture by Greuze entitled ‘La Jeune Fille à l’Agneau’ fetched one million two hundred thousand francs—more than forty thousand pounds—at the Portalis sale may start a train of reflection in your mind.",missing_space_after_em_dash,s—m,192,195,,,
VOF,VOF_T00116,VOF_T00116_S01,Holmes,"All knowledge comes useful to the detective, Even the trivial fact that in the year 1865 a picture by Greuze entitled ‘La Jeune Fille à l’Agneau’ fetched one million two hundred thousand francs—more than forty thousand pounds—at the Portalis sale may start a train of reflection in your mind.",missing_space_after_em_dash,s—a,224,227,,,
VOF,VOF_T00126,VOF_T00126_S03,Unknown,"Once—well, I can hardly tell about the once to an official detective.",missing_space_after_em_dash,e—w,3,6,,,
VOF,VOF_T00126,VOF_T00126_S04,Unknown,It was on the last occasion that I took the liberty of running over his papers—with the most unexpected results.,missing_space_after_em_dash,s—w,77,80,,,
VOF,VOF_T00132,VOF_T00132_S02,Unknown,"Of course I have other reasons for thinking so—dozens of exiguous threads which lead vaguely up towards the centre of the web where the poisonous, motionless creature is lurking.",missing_space_after_em_dash,o—d,45,48,,,
VOF,VOF_T00133,VOF_T00133_S01,Unknown,"Well, mr. Holmes, I admit that what you say is interesting: it’s more than interesting—it’s just wonderful.",missing_space_after_em_dash,g—i,85,88,,,
VOF,VOF_T00133,VOF_T00133_S03,Unknown,"Is it forgery, coining, burglary—where does the money come from?",missing_space_after_em_dash,y—w,31,34,,,
VOF,VOF_T00135,VOF_T00135_S03,Unknown,I don’t take much stock of detectives in novels—chaps that do things and never let you see how they do them.,missing_space_after_em_dash,s—c,46,49,,,
VOF,VOF_T00138,VOF_T00138_S02,Unknown,Everything comes in circles—even Professor Moriarty.,missing_space_after_em_dash,s—e,26,29,,,
VOF,VOF_T00140,VOF_T00140_S01,Unknown,"I happen to know who is the first link in his chain—a chain with this Napoleon-gone-wrong at one end, and a hundred broken fighting men, pickpockets, blackmailers, and card sharpers at the other, with every sort of crime in between.",missing_space_after_em_dash,n—a,50,53,,,
VOF,VOF_T00142,VOF_T00142_S02,Unknown,"That’s paying for brains, you see—the American business principle.",missing_space_after_em_dash,e—t,32,35,,,
VOF,VOF_T00142,VOF_T00142_S06,Unknown,Another point: I made it my business to hunt down some of Moriarty’s checks lately—just common innocent checks that he pays his household bills with.,missing_space_after_em_dash,y—j,81,84,,,
VOF,VOF_T00146,VOF_T00146_S08,Unknown,Now we might suppose that this murdered man—this Douglas whose approaching fate was known by one of the arch-criminal’s subordinates—had in some way betrayed the chief.,missing_space_after_em_dash,n—t,42,45,,,
VOF,VOF_T00146,VOF_T00146_S08,Unknown,Now we might suppose that this murdered man—this Douglas whose approaching fate was known by one of the arch-criminal’s subordinates—had in some way betrayed the chief.,missing_space_after_em_dash,s—h,131,134,,,
VOF,VOF_T00146,VOF_T00146_S09,Unknown,"His punishment followed, and would be known to all—if only to put the fear of death into them.",missing_space_after_em_dash,l—i,49,52,,,
