text_id,turn_id,speaker,dialogue_text,internal_attributions,source_context
VOF,VOF_T00013,Holmes,"A touch! A distinct touch! You are developing a certain unexpected vein of pawky humour, Watson, against which I must learn to guard myself. But in calling Moriarty a criminal you are uttering libel in the eyes of the law—and there lie the glory and the wonder of it! The greatest schemer of all time, the organizer of every deviltry, the controlling brain of the underworld, a brain which might have made or marred the destiny of nations—that’s the man! But so aloof is he from general suspicion, so immune from criticism, so admirable in his management and self-effacement, that for those very words that you have uttered he could hale you to a court and emerge with your year’s pension as a solatium for his wounded character. Is he not the celebrated author of The Dynamics of an Asteroid, a book which ascends to such rarefied heights of pure mathematics that it is said that there was no man in the scientific press capable of criticizing it? Is this a man to traduce? Foul-mouthed doctor and slandered professor—such would be your respective rôles! That’s genius, Watson. But if I am spared by lesser men, our day will surely come.",said that there was no,
VOF,VOF_T00404,Unknown,"That was an expression he has used when I questioned him. ‘I have been in the Valley of Fear. I am not out of it yet.’—‘Are we never to get out of the Valley of Fear?’ I have asked him when I have seen him more serious than usual. ‘Sometimes I think that we never shall,’ he has answered.",asked him when I have,"e. “Can a husband ever carry about a secret all his life and a woman who loves him have no suspicion of it? I knew it by his refusal to talk about some episodes in his American life. I knew it by certain precautions he took. I knew it by certain words he let fall. I knew it by the way he looked at unexpected strangers. I was perfectly certain that he had some powerful enemies, that he believed they were on his track, and that he was always on his guard against them. I was so sure of it that for years I have been terrified if ever he came home later than was expected.” “Might I ask,” asked Holmes, “what the words were which attracted your attention?” “The Valley of Fear,” the lady answered. “That was an expression he has used when I questioned him. ‘I have been in the Valley of Fear. I am not out of it yet.’—‘Are we never to get out of the Valley of Fear?’ I have asked him when I have seen him more serious than usual. ‘Sometimes I think that we never shall,’ he has answered.” “Surely you asked him what he meant by the Valley of Fear?” “I did; but his face would become very grave and he would shake his head. ‘It is bad enough that one of us should have been in its shadow,’ he said. ‘Please God it shall never fall upon you!’ It was some real valley in which he had lived and in which something terrible had occurred to him, of that I am certain; but I can tell you no more.” “And he never mentioned any names?” “Yes, he was delirious with fever once when he had his hunting accident three years ago. Then I remember that there was a name that came continually to his lips. He spoke it with anger and a sort of horror. McGinty was the name—Bodymaster McGinty. I asked him "
VOF,VOF_T00405,Unknown,Surely you asked him what he meant by the Valley of Fear?,asked him what he meant,"oked at unexpected strangers. I was perfectly certain that he had some powerful enemies, that he believed they were on his track, and that he was always on his guard against them. I was so sure of it that for years I have been terrified if ever he came home later than was expected.” “Might I ask,” asked Holmes, “what the words were which attracted your attention?” “The Valley of Fear,” the lady answered. “That was an expression he has used when I questioned him. ‘I have been in the Valley of Fear. I am not out of it yet.’—‘Are we never to get out of the Valley of Fear?’ I have asked him when I have seen him more serious than usual. ‘Sometimes I think that we never shall,’ he has answered.” “Surely you asked him what he meant by the Valley of Fear?” “I did; but his face would become very grave and he would shake his head. ‘It is bad enough that one of us should have been in its shadow,’ he said. ‘Please God it shall never fall upon you!’ It was some real valley in which he had lived and in which something terrible had occurred to him, of that I am certain; but I can tell you no more.” “And he never mentioned any names?” “Yes, he was delirious with fever once when he had his hunting accident three years ago. Then I remember that there was a name that came continually to his lips. He spoke it with anger and a sort of horror. McGinty was the name—Bodymaster McGinty. I asked him when he recovered who Bodymaster McGinty was, and whose body"
VOF,VOF_T00408,Unknown,"Yes, he was delirious with fever once when he had his hunting accident three years ago. Then I remember that there was a name that came continually to his lips. He spoke it with anger and a sort of horror. McGinty was the name—Bodymaster McGinty. I asked him when he recovered who Bodymaster McGinty was, and whose body he was master of. ‘Never of mine, thank God!’ he answered with a laugh, and that was all I could get from him. But there is a connection between Bodymaster McGinty and the Valley of Fear.",asked him when he recovered | answered with a laugh," used when I questioned him. ‘I have been in the Valley of Fear. I am not out of it yet.’—‘Are we never to get out of the Valley of Fear?’ I have asked him when I have seen him more serious than usual. ‘Sometimes I think that we never shall,’ he has answered.” “Surely you asked him what he meant by the Valley of Fear?” “I did; but his face would become very grave and he would shake his head. ‘It is bad enough that one of us should have been in its shadow,’ he said. ‘Please God it shall never fall upon you!’ It was some real valley in which he had lived and in which something terrible had occurred to him, of that I am certain; but I can tell you no more.” “And he never mentioned any names?” “Yes, he was delirious with fever once when he had his hunting accident three years ago. Then I remember that there was a name that came continually to his lips. He spoke it with anger and a sort of horror. McGinty was the name—Bodymaster McGinty. I asked him when he recovered who Bodymaster McGinty was, and whose body he was master of. ‘Never of mine, thank God!’ he answered with a laugh, and that was all I could get from him. But there is a connection between Bodymaster McGinty and the Valley of Fear.” “There is one other point,” said Inspector MacDonald. “You met Mr. Douglas in a boarding house in London, did you not, and became engaged to him there? Was there any romance, anything secret or mysterious, about the wedding?” “There was romance. There is always romance. There was nothing mysterious.” “He had no rival?” “No, I was quite free.” “You have heard, no doubt, that his wedding ring has been taken. Does that suggest anything to you? Suppose that some enemy of his old life had tracked him down and committed this crime, what possible reason could he have for taking his wedding ring?” For an instant I could have sworn that the faintest shadow of a smile flickered over the woman’s lips"
VOF,VOF_T00431,he,"there’s not a doubt of it! Barker has just marked the window himself. It’s a good deal broader than any bootmark. I mind that you said it was a splay-foot, and here’s the explanation. But what’s the game, Mr. Holmes—what’s the game?",said i,"ed were my own.” “That is natural enough, considering the condition of the room. Very good, Ames. We will ring if we want you.” A few minutes later we were in the study. Holmes had brought with him the carpet slippers from the hall. As Ames had observed, the soles of both were dark with blood. “Strange!” murmured Holmes, as he stood in the light of the window and examined them minutely. “Very strange indeed!” Stooping with one of his quick feline pounces, he placed the slipper upon the blood mark on the sill. It exactly corresponded. He smiled in silence at his colleagues. The inspector was transfigured with excitement. His native accent rattled like a stick upon railings. “Man,” he cried, “there’s not a doubt of it! Barker has just marked the window himself. It’s a good deal broader than any bootmark. I mind that you said it was a splay-foot, and here’s the explanation. But what’s the game, Mr. Holmes—what’s the game?” “Ay, what’s the game?” my friend repeated thoughtfully. White Mason chuckled and rubbed his fat hands together in his professional satisfaction. “I said it was a snorter!” he cried. “And a real snorter it is!” Chapter VI A Dawning Light The three detectives had many matters of detail into which to inquire; so I returned alone to our modest quarters at the village inn. But before doing so I took a stroll in the curious old-world garden which flanked the house. Rows of very ancient yew trees cut into strange designs girded it round. Inside was a beautiful stretch of lawn with an old sundial in the middle, the whole effect so soothing and restful that it was welcome to my somewhat jangled ner"
VOF,VOF_T00433,Unknown,I said it was a snorter!,said i,"minutely. “Very strange indeed!” Stooping with one of his quick feline pounces, he placed the slipper upon the blood mark on the sill. It exactly corresponded. He smiled in silence at his colleagues. The inspector was transfigured with excitement. His native accent rattled like a stick upon railings. “Man,” he cried, “there’s not a doubt of it! Barker has just marked the window himself. It’s a good deal broader than any bootmark. I mind that you said it was a splay-foot, and here’s the explanation. But what’s the game, Mr. Holmes—what’s the game?” “Ay, what’s the game?” my friend repeated thoughtfully. White Mason chuckled and rubbed his fat hands together in his professional satisfaction. “I said it was a snorter!” he cried. “And a real snorter it is!” Chapter VI A Dawning Light The three detectives had many matters of detail into which to inquire; so I returned alone to our modest quarters at the village inn. But before doing so I took a stroll in the curious old-world garden which flanked the house. Rows of very ancient yew trees cut into strange designs girded it round. Inside was a beautiful stretch of lawn with an old sundial in the middle, the whole effect so soothing and restful that it was welcome to my somewhat jangled nerves. In that deeply peaceful atmosphere one could forget, or remember only as some fantastic nightmare, that darkened study with the sprawling, bloodstained figure on the f"
VOF,VOF_T00452,Unknown,"A lie, Watson—a great, big, thumping, obtrusive, uncompromising lie—that’s what meets us on the threshold! There is our starting point. The whole story told by Barker is a lie. But Barker’s story is corroborated by Mrs. Douglas. Therefore she is lying also. They are both lying, and in a conspiracy. So now we have the clear problem. Why are they lying, and what is the truth which they are trying so hard to conceal? Let us try, Watson, you and I, if we can get behind the lie and reconstruct the truth. “How do I know that they are lying? Because it is a clumsy fabrication which simply could not be true. Consider! According to the story given to us, the assassin had less than a minute after the murder had been committed to take that ring, which was under another ring, from the dead man’s finger, to replace the other ring—a thing which he would surely never have done—and to put that singular card beside his victim. I say that this was obviously impossible. “You may argue—but I have too much respect for your judgment, Watson, to think that you will do so—that the ring may have been taken before the man was killed. The fact that the candle had been lit only a short time shows that there had been no lengthy interview. Was Douglas, from what we hear of his fearless character, a man who would be likely to give up his wedding ring at such short notice, or could we conceive of his giving it up at all? No, no, Watson, the assassin was alone with the dead man for some time with the lamp lit. Of that I have no doubt at all. “But the gunshot was apparently the cause of death. Therefore the shot must have been fired some time earlier than we are told. But there could be no mistake about such a matter as that. We are in the presence, therefore, of a deliberate conspiracy upon the part of the two people who heard the gunshot—of the man Barker and of the woman Douglas. When on the top of this I am able to show that the blood mark on the windowsill was deliberately placed there by Barker, in order to give a false clue to the police, you will admit that the case grows dark against him. “Now we have to ask ourselves at what hour the murder actually did occur. Up to half-past ten the servants were moving about the house; so it was certainly not before that time. At a quarter to eleven they had all gone to their rooms with the exception of Ames, who was in the pantry. I have been trying some experiments after you left us this afternoon, and I find that no noise which MacDonald can make in the study can penetrate to me in the pantry when the doors are all shut. “It is otherwise, however, from the housekeeper’s room. It is not so far down the corridor, and from it I could vaguely hear a voice when it was very loudly raised. The sound from a shotgun is to some extent muffled when the discharge is at very close range, as it undoubtedly was in this instance. It would not be very loud, and yet in the silence of the night it should have easily penetrated to Mrs. Allen’s room. She is, as she has told us, somewhat deaf; but none the less she mentioned in her evidence that she did hear something like a door slamming half an hour before the alarm was given. Half an hour before the alarm was given would be a quarter to eleven. I have no doubt that what she heard was the report of the gun, and that this was the real instant of the murder. “If this is so, we have now to determine what Barker and Mrs. Douglas, presuming that they are not the actual murderers, could have been doing from quarter to eleven, when the sound of the shot brought them down, until quarter past eleven, when they rang the bell and summoned the servants. What were they doing, and why did they not instantly give the alarm? That is the question which faces us, and when it has been answered we shall surely have gone some way to solve our problem.",answered we," the imminent danger of a spinal curvature. Shocking, Watson, shocking!” He sat with his mouth full of toast and his eyes sparkling with mischief, watching my intellectual entanglement. The mere sight of his excellent appetite was an assurance of success; for I had very clear recollections of days and nights without a thought of food, when his baffled mind had chafed before some problem while his thin, eager features became more attenuated with the asceticism of complete mental concentration. Finally he lit his pipe, and sitting in the inglenook of the old village inn he talked slowly and at random about his case, rather as one who thinks aloud than as one who makes a considered statement. “A lie, Watson—a great, big, thumping, obtrusive, uncompromising lie—that’s what meets us on the threshold! There is our starting point. The whole story told by Barker is a lie. But Barker’s story is corroborated by Mrs. Douglas. Therefore she is lying also. They are both lying, and in a conspiracy. So now we have the clear problem. Why are they lying, and what is the truth which they are trying so hard to conceal? Let us try, Watson, you and I, if we can get behind the lie and reconstruct the truth. “How do I know that they are lying? Because it is a clumsy fabrication which simply could not be true. Consider! According to the story given to us, the assassin had less than a minute after the murder had been committed to take that ring, which was under another ring, from the dead man’s finger, to replace the other ring—a thing which he would surely never have done—and to put that singular card beside his victim. I say that this was obviously impossible. “You may argue—but I have too much respect for your judgment, Watson, to think that you will do so—that the ring may have been taken before the man was killed. The fact that the candle had been lit only a short time shows that there had been no lengthy interview. Was Douglas, from what we hear of his fearless character, a man who would be likely to give up his wedding ring at such short notice, or could we conceive of his giving it up at all? No, no, Watson, the assassin was alone with the dead man for some time with the lamp lit. Of that I have no doubt at all. “But the gunshot was apparently the cause of death. Therefore the shot must have been fired some time earlier than we are told. But there could be no mistake about such a matter as that. We are in the presence, therefore, of a deliberate conspiracy upon the part of the two people who heard the gunshot—of the man Barker and of the woman Douglas. When on the top of this I am able to show that the blood mark on the windowsill was deliberately placed there by Barker, in order to give a false clue to the police, you will admit that the case grows dark against him. “Now we have to ask ourselves at what hour the murder actually did occur. Up to half-past ten the servants were moving about the house; so it was certainly not before that time. At a quarter to eleven they had all gone to their rooms with the exception of Ames, who was in the pantry. I have been trying some experiments after you left us this afternoon, and I find that no noise which MacDonald can make in the study can penetrate to me in the pantry when the doors are all shut. “It is otherwise, however, from the housekeeper’s room. It is not so far down the corridor, and from it I could vaguely hear a voice when it was very loudly raised. The sound from a shotgun is to some extent muffled when the discharge is at very close range, as it undoubtedly was in this instance. It would not be very loud, and yet in the silence of the night it should have easily penetrated to Mrs. Allen’s room. She is, as she has told us, somewhat deaf; but none the less she mentioned in her evidence that she did hear something like a door slamming half an hour before the alarm was given. Half an hour before the alarm was given would be a quarter to eleven. I have no doubt that what she heard was the report of the gun, and that this was the real instant of the murder. “If this is so, we have now to determine what Barker and Mrs. Douglas, presuming that they are not the actual murderers, could have been doing from quarter to eleven, when the sound of the shot brought them down, until quarter past eleven, when they rang the bell and summoned the servants. What were they doing, and why did they not instantly give the alarm? That is the question which faces us, and when it has been answered we shall surely have gone some way to solve our problem.” “I am convinced myself,” said I, “that there is an understanding between those two people. She must be a heartless creature to sit laughing at some jest within a few hours of her husband’s murder.” “Exactly. She does not shine as a wife even in her own account of what occurred. I am not a whole-souled admirer of womankind, as you are aware, Watson, but my experience of life has taught me that there are few wives, having any regard for their husbands, who would let any man’s spoken word stand between them and that husband’s dead body. Should I ever marry, Watson, I should hope to inspire my wife with some feeling which would prevent her from being walked off by a housekeeper when my corpse "
VOF,VOF_T00508,Holmes,"Dear me! Now, Mr. Mac and you, Mr. White Mason, I wish to give you a very earnest piece of advice. When I went into this case with you I bargained, as you will no doubt remember, that I should not present you with half-proved theories, but that I should retain and work out my own ideas until I had satisfied myself that they were correct. For this reason I am not at the present moment telling you all that is in my mind. On the other hand, I said that I would play the game fairly by you, and I do not think it is a fair game to allow you for one unnecessary moment to waste your energies upon a profitless task. Therefore I am here to advise you this morning, and my advice to you is summed up in three words—abandon the case.",said that I would play,
VOF,VOF_T00594,Unknown,"and I acted for the best. “Well, gentlemen, the day before these happenings I was over in Tunbridge Wells, and I got a glimpse of a man in the street. It was only a glimpse; but I have a quick eye for these things, and I never doubted who it was. It was the worst enemy I had among them all—one who has been after me like a hungry wolf after a caribou all these years. I knew there was trouble coming, and I came home and made ready for it. I guessed I’d fight through it all right on my own, my luck was a proverb in the States about ’76. I never doubted that it would be with me still. “I was on my guard all that next day, and never went out into the park. It’s as well, or he’d have had the drop on me with that buckshot gun of his before ever I could draw on him. After the bridge was up—my mind was always more restful when that bridge was up in the evenings—I put the thing clear out of my head. I never dreamed of his getting into the house and waiting for me. But when I made my round in my dressing gown, as was my habit, I had no sooner entered the study than I scented danger. I guess when a man has had dangers in his life—and I’ve had more than most in my time—there is a kind of sixth sense that waves the red flag. I saw the signal clear enough, and yet I couldn’t tell you why. Next instant I spotted a boot under the window curtain, and then I saw why plain enough. “I’d just the one candle that was in my hand; but there was a good light from the hall lamp through the open door. I put down the candle and jumped for a hammer that I’d left on the mantel. At the same moment he sprang at me. I saw the glint of a knife, and I lashed at him with the hammer. I got him somewhere; for the knife tinkled down on the floor. He dodged round the table as quick as an eel, and a moment later he’d got his gun from under his coat. I heard him cock it; but I had got hold of it before he could fire. I had it by the barrel, and we wrestled for it all ends up for a minute or more. It was death to the man that lost his grip. “He never lost his grip; but he got it butt downward for a moment too long. Maybe it was I that pulled the trigger. Maybe we just jolted it off between us. Anyhow, he got both barrels in the face, and there I was, staring down at all that was left of Ted Baldwin. I’d recognized him in the township, and again when he sprang for me; but his own mother wouldn’t recognize him as I saw him then. I’m used to rough work; but I fairly turned sick at the sight of him. “I was hanging on the side of the table when Barker came hurrying down. I heard my wife coming, and I ran to the door and stopped her. It was no sight for a woman. I promised I’d come to her soon. I said a word or two to Barker—he took it all in at a glance—and we waited for the rest to come along. But there was no sign of them. Then we understood that they could hear nothing, and that all that had happened was known only to ourselves. “It was at that instant that the idea came to me. I was fairly dazzled by the brilliance of it. The man’s sleeve had slipped up and there was the branded mark of the lodge upon his forearm. See here!",said a word or two," spot I thought my last years were going to be peaceable. “I never explained to my wife how things were. Why should I pull her into it? She would never have a quiet moment again; but would always be imagining trouble. I fancy she knew something, for I may have dropped a word here or a word there; but until yesterday, after you gentlemen had seen her, she never knew the rights of the matter. She told you all she knew, and so did Barker here; for on the night when this thing happened there was mighty little time for explanations. She knows everything now, and I would have been a wiser man if I had told her sooner. But it was a hard question, dear,” he took her hand for an instant in his own, “and I acted for the best. “Well, gentlemen, the day before these happenings I was over in Tunbridge Wells, and I got a glimpse of a man in the street. It was only a glimpse; but I have a quick eye for these things, and I never doubted who it was. It was the worst enemy I had among them all—one who has been after me like a hungry wolf after a caribou all these years. I knew there was trouble coming, and I came home and made ready for it. I guessed I’d fight through it all right on my own, my luck was a proverb in the States about ’76. I never doubted that it would be with me still. “I was on my guard all that next day, and never went out into the park. It’s as well, or he’d have had the drop on me with that buckshot gun of his before ever I could draw on him. After the bridge was up—my mind was always more restful when that bridge was up in the evenings—I put the thing clear out of my head. I never dreamed of his getting into the house and waiting for me. But when I made my round in my dressing gown, as was my habit, I had no sooner entered the study than I scented danger. I guess when a man has had dangers in his life—and I’ve had more than most in my time—there is a kind of sixth sense that waves the red flag. I saw the signal clear enough, and yet I couldn’t tell you why. Next instant I spotted a boot under the window curtain, and then I saw why plain enough. “I’d just the one candle that was in my hand; but there was a good light from the hall lamp through the open door. I put down the candle and jumped for a hammer that I’d left on the mantel. At the same moment he sprang at me. I saw the glint of a knife, and I lashed at him with the hammer. I got him somewhere; for the knife tinkled down on the floor. He dodged round the table as quick as an eel, and a moment later he’d got his gun from under his coat. I heard him cock it; but I had got hold of it before he could fire. I had it by the barrel, and we wrestled for it all ends up for a minute or more. It was death to the man that lost his grip. “He never lost his grip; but he got it butt downward for a moment too long. Maybe it was I that pulled the trigger. Maybe we just jolted it off between us. Anyhow, he got both barrels in the face, and there I was, staring down at all that was left of Ted Baldwin. I’d recognized him in the township, and again when he sprang for me; but his own mother wouldn’t recognize him as I saw him then. I’m used to rough work; but I fairly turned sick at the sight of him. “I was hanging on the side of the table when Barker came hurrying down. I heard my wife coming, and I ran to the door and stopped her. It was no sight for a woman. I promised I’d come to her soon. I said a word or two to Barker—he took it all in at a glance—and we waited for the rest to come along. But there was no sign of them. Then we understood that they could hear nothing, and that all that had happened was known only to ourselves. “It was at that instant that the idea came to me. I was fairly dazzled by the brilliance of it. The man’s sleeve had slipped up and there was the branded mark of the lodge upon his forearm. See here!” The man whom we had known as Douglas turned up his own coat and cuff to show a brown triangle within a circle exactly like that which we had seen upon the dead man. “It was the sight of that which started me on it. I seemed to see it all clear at a glance. There were his height and hair and figure, about the same as my own. No one could swear to his face, poor devil! I brought down this suit of clothes, and in a quarter of an hour Barker and I had put my dressing gown on him and he lay as you found him. We tied all his things into a bundle, and I weighted them with the only weight I could find and put them through the window. The card he had meant to lay upon my body was lying beside his o"
VOF,VOF_T00694,Unknown,"No, I asked her; but she wouldn’t tell.",asked he,"m in the same direction. It may have been that his attentions to Ettie had been more evident than before, or that they had gradually obtruded themselves into the slow mind of his good German host; but, whatever the cause, the boarding-house keeper beckoned the young man into his private room and started on the subject without any circumlocution. “It seems to me, mister,” said he, “that you are gettin’ set on my Ettie. Ain’t that so, or am I wrong?” “Yes, that is so,” the young man answered. “Vell, I vant to tell you right now that it ain’t no manner of use. There’s someone slipped in afore you.” “She told me so.” “Vell, you can lay that she told you truth. But did she tell you who it vas?” “No, I asked her; but she wouldn’t tell.” “I dare say not, the leetle baggage! Perhaps she did not vish to frighten you avay.” “Frighten!” McMurdo was on fire in a moment. “Ah, yes, my friend! You need not be ashamed to be frightened of him. It is Teddy Baldwin.” “And who the devil is he?” “He is a boss of Scowrers.” “Scowrers! I’ve heard of them before. It’s Scowrers here and Scowrers there, and always in a whisper! What are you all afraid of? Who are the Scowrers?” The boarding-house keeper instinctively sank his voice, as everyone did who talked about that terrible society. “The Scowrers,” said he, “are the Eminent Order of Freemen!” The young man stared. “Why, I am a member of that order myself.” “You! I vould never have had y"
