turn_id,speaker,dialogue_text,extraction_confidence,source
VOF_T00005,I,"I am inclined to think— I should do so,",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00006,I,"Really, Holmes, you are a little trying at times.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00007,he,"It is Porlock’s writing, I can hardly doubt that it is Porlock’s writing, though I have seen it only twice before. The Greek e with the peculiar top flourish is distinctive. But if it is Porlock, then it must be something of the very first importance.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00013,Holmes,"A touch! A distinct touch! You are developing a certain unexpected vein of pawky humour, Watson, against which I must learn to guard myself. But in calling Moriarty a criminal you are uttering libel in the eyes of the law—and there lie the glory and the wonder of it! The greatest schemer of all time, the organizer of every deviltry, the controlling brain of the underworld, a brain which might have made or marred the destiny of nations—that’s the man! But so aloof is he from general suspicion, so immune from criticism, so admirable in his management and self-effacement, that for those very words that you have uttered he could hale you to a court and emerge with your year’s pension as a solatium for his wounded character. Is he not the celebrated author of The Dynamics of an Asteroid, a book which ascends to such rarefied heights of pure mathematics that it is said that there was no man in the scientific press capable of criticizing it? Is this a man to traduce? Foul-mouthed doctor and slandered professor—such would be your respective rôles! That’s genius, Watson. But if I am spared by lesser men, our day will surely come.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00029,Holmes,"The same writing, and actually signed,",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00040,I,"No doubt, Of course.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00042,he,I wonder! Perhaps there are points which have escaped your Machiavellian intellect. Let us consider the problem in the light of pure reason. This man’s reference is to a book. That is our point of departure.,high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00066,I,"What a queer, scrambling way of expressing his meaning! On the contrary, he has done quite remarkably well,",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00068,he,"You are an early bird, Mr. Mac, I wish you luck with your worm. I fear this means that there is some mischief afoot.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00075,he,"Just this, that Mr. Douglas of Birlstone Manor House was horribly murdered last night!",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00076,he,Remarkable! Remarkable!,high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00079,he,"I was going down to Birlstone this morning, I had come to ask you if you cared to come with me—you and your friend here. But from what you say we might perhaps be doing better work in London.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00080,Holmes,"I rather think not, Hang it all, Mr. Holmes!",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00116,Holmes,"All knowledge comes useful to the detective, Even the trivial fact that in the year 1865 a picture by Greuze entitled ‘La Jeune Fille à l’Agneau’ fetched one million two hundred thousand francs—more than forty thousand pounds—at the Portalis sale may start a train of reflection in your mind.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00118,Holmes,that the professor’s salary can be ascertained in several trustworthy books of reference. It is seven hundred a year.,high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00121,the inspector,"Ay, that’s remarkable, Talk away, Mr. Holmes. I’m just loving it. It’s fine!",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00123,the inspector,"We’ve time yet, I’ve a cab at the door, and it won’t take us twenty minutes to Victoria. But about this picture: I thought you told me once, Mr. Holmes, that you had never met Professor Moriarty.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00145,he,"He can keep, anyhow, You’ve got us side-tracked with your interesting anecdotes, Mr. Holmes. What really counts is your remark that there is some connection between the professor and the crime. That you get from the warning received through the man Porlock. Can we for our present practical needs get any further than that?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00151,MacDonald,"Then to Birlstone we must go! My word! it’s later than I thought. I can give you, gentlemen, five minutes for preparation, and that is all.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00152,Holmes,"And ample for us both, While we are on our way, Mr. Mac, I will ask you to be good enough to tell me all about it.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00155,Holmes,"Your friend seems to be no fool, No, sir, White Mason is a very live man, if I am any judge.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00161,Ames,"An easy-going, free-handed gentleman, But, my word! I had rather not be the man that crossed him!",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00163,Cecil Barker,"Nothing has been touched up to now, I’ll answer for that. You see it all exactly as I found it.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00180,the doctor,Horrible enough! I’ve never seen such injuries since the Birlstone railway smash.,high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00181,the police sergeant,"But, I say, It’s all very well your saying that a man escaped by wading this moat, but what I ask you is, how did he ever get into the house at all if the bridge was up?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00182,Barker,"Ah, that’s the question, At what o’clock was it raised?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00183,Ames,"It was nearly six o’clock, I’ve heard,",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00185,Ames,"Mrs. Douglas had visitors to tea, I couldn’t raise it until they went. Then I wound it up myself.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00186,the sergeant,"Then it comes to this, If anyone came from outside—_if_ they did—they must have got in across the bridge before six and been in hiding ever since, until Mr. Douglas came into the room after eleven.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00195,the sergeant,"We’d best put it back on the rug where we found it, It will want the best brains in the force to get to the bottom of this thing. It will be a London job before it is finished.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00198,the butler,"When the lamps were lit, It would be shortly after four.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00201,Barker,"That’s how I read it, But, I say, aren’t we wasting precious time? Couldn’t we start out and scout the country before the fellow gets away?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00205,the doctor,"It’s not tattooed, I never saw anything like it. The man has been branded at some time as they brand cattle. What is the meaning of this?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00206,Cecil Barker,"I don’t profess to know the meaning of it, but I have seen the mark on Douglas many times this last ten years.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00207,the butler,"And so have I, Many a time when the master has rolled up his sleeves I have noticed that very mark. I’ve often wondered what it could be.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00208,the sergeant,"Then it has nothing to do with the crime, anyhow, But it’s a rum thing all the same. Everything about this case is rum. Well, what is it now?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00212,Barker,"He’s right, Do you tell me,",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00217,he,"Seems to me the sooner we get London on to this case the better, White Mason is a smart man. No local job has ever been too much for White Mason. It won’t be long now before he is here to help us. But I expect we’ll have to look to London before we are through. Anyhow, I’m not ashamed to say that it is a deal too thick for the likes of me.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00222,White Mason in great,"I thought you would say so, Mr. Holmes, We’re well up with the times in Sussex. I’ve told you now how matters were, up to the time when I took over from Sergeant Wilson between three and four this morning. My word! I made the old mare go! But I need not have been in such a hurry, as it turned out; for there was nothing immediate that I could do. Sergeant Wilson had all the facts. I checked them and considered them and maybe added a few of my own.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00223,Holmes,"What were they? Well, I first had the hammer examined. There was Dr. Wood there to help me. We found no signs of violence upon it. I was hoping that if Mr. Douglas defended himself with the hammer, he might have left his mark upon the murderer before he dropped it on the mat. But there was no stain.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00224,I,"That, of course, proves nothing at all, There has been many a hammer murder and no trace on the hammer.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00226,Holmes,"A big P with a flourish above it, E and N smaller? Exactly.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00230,he,"Man, you are surely travelling overfast, I have heard no evidence yet that any stranger was ever in the house at all.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00238,he,"I’m not convinced yet that there was ever anyone in the house, I’m asking you to conseedar",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00240,Holmes in his most,"Well, state your case, Mr. Mac, The man is not a burglar, supposing that he ever existed. The ring business and the card point to premeditated murder for some private reason. Very good. Here is a man who slips into a house with the deliberate intention of committing murder. He knows, if he knows anything, that he will have a deeficulty in making his escape, as the house is surrounded with water. What weapon would he choose? You would say the most silent in the world. Then he could hope when the deed was done to slip quickly from the window, to wade the moat, and to get away at his leisure. That’s understandable. But is it understandable that he should go out of his way to bring with him the most noisy weapon he could select, knowing well that it will fetch every human being in the house to the spot as quick as they can run, and that it is all odds that he will be seen before he can get across the moat? Is that credible, Mr. Holmes?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00248,I,"I have worked with Mr. Holmes before, He plays the game.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00249,Holmes,"My own idea of the game, at any rate, I go into a case to help the ends of justice and the work of the police. If I have ever separated myself from the official force, it is because they have first separated themselves from me. I have no wish ever to score at their expense. At the same time, Mr. White Mason, I claim the right to work in my own way and give my results at my own time—complete rather than in stages.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00250,White Mason cordially,"I am sure we are honoured by your presence and to show you all we know, Come along, Dr. Watson, and when the time comes we’ll all hope for a place in your book.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00251,White Mason,"That’s the window, that one on the immediate right of the drawbridge. It’s open just as it was found last night.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00254,White Mason,"I’ve had a good look, Mr. Holmes, There is nothing there, no sign that anyone has landed—but why should he leave any sign?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00261,White Mason,"Anything fresh, Sergeant Wilson? No, sir.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00264,MacDonald,"We can surely dismiss that, So I think. Suicide is out of the question. Then a murder has been done. What we have to determine is, whether it was done by someone outside or inside the house.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00269,Holmes,"You put it very clearly, I am inclined to agree with you.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00271,Holmes,"The candle shows that, Exactly. The candle, which was a new one, is not burned more than half an inch. He must have placed it on the table before he was attacked; otherwise, of course, it would have fallen when he fell. This shows that he was not attacked the instant that he entered the room. When Mr. Barker arrived the candle was lit and the lamp was out.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00275,MacDonald,"Man, it would be absolute nonsense if it wasn’t that anything else is even worse! Somebody killed the man, and whoever it was I could clearly prove to you that he should have done it some other way. What does he mean by allowing his retreat to be cut off like that? What does he mean by using a shotgun when silence was his one chance of escape? Come, Mr. Holmes, it’s up to you to give us a lead, since you say Mr. White Mason’s theory is unconvincing.",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00276,he,"I should like a few more facts before I get so far as a theory, Mr. Mac, Dear me! these injuries are really appalling. Can we have the butler in for a moment?... Ames, I understand that you have often seen this very unusual mark—a branded triangle inside a circle—upon Mr. Douglas’s forearm?",high,Project Gutenberg #3289 - The Valley of Fear
VOF_T00284,Holmes,"Suggestive! It may, of course, be a mere coincidence, or it may point to some nervousness which would indicate that he had reason to apprehend danger. Had you noticed anything unusual in his conduct, yesterday, Ames?",high,Project Gutenberg #3289 - The Valley of Fear
