text_id,turn_id,sentence_id,speaker,current_text,pattern,fragment,start_position,end_position,suggested_spacing,decision,review_notes
VOF,VOF_T00097,VOF_T00097_S07,Unknown,"When he put his hand on my shoulder as we were parting, it was like a father’s blessing before you go out into the cold, cruel world.",suspicious_joined_common_words,into,106,110,,,
VOF,VOF_T00146,VOF_T00146_S09,Unknown,"His punishment followed, and would be known to all—if only to put the fear of death into them.",suspicious_joined_common_words,into,84,88,,,
VOF,VOF_T00169,VOF_T00169_S02,Unknown,"Ames had arrived, and we ran back into the room once more.",suspicious_joined_common_words,into,34,38,,,
VOF,VOF_T00181,VOF_T00181_S01,the police sergeant,"But, I say, It’s all very well your saying that a man escaped by wading this moat, but what I ask you is, how did he ever get into the house at all if the bridge was up?",suspicious_joined_common_words,into,126,130,,,
VOF,VOF_T00186,VOF_T00186_S01,the sergeant,"Then it comes to this, If anyone came from outside—_if_ they did—they must have got in across the bridge before six and been in hiding ever since, until mr. Douglas came into the room after eleven.",suspicious_joined_common_words,into,170,174,,,
VOF,VOF_T00200,VOF_T00200_S02,Unknown,"It looks as if the man got into the house after four when the curtains were drawn, and before six when the bridge was raised.",suspicious_joined_common_words,into,27,31,,,
VOF,VOF_T00200,VOF_T00200_S03,Unknown,"He slipped into this room, because it was the first that he saw.",suspicious_joined_common_words,into,11,15,,,
VOF,VOF_T00219,VOF_T00219_S02,Unknown,I’m hoping we will get our work done before they get poking their noses into it and messing up all the trails.,suspicious_joined_common_words,into,72,76,,,
VOF,VOF_T00236,VOF_T00236_S03,Unknown,It would fit into any box.,suspicious_joined_common_words,into,13,17,,,
VOF,VOF_T00239,VOF_T00239_S01,Unknown,"I’m asking you to conseedar what it involves if you suppose that this gun was ever brought into the house, and that all these strange things were done by a person from outside.",suspicious_joined_common_words,into,91,95,,,
VOF,VOF_T00240,VOF_T00240_S04,Holmes,Here is a man who slips into a house with the deliberate intention of committing murder.,suspicious_joined_common_words,into,24,28,,,
VOF,VOF_T00249,VOF_T00249_S01,Holmes,"My own idea of the game, at any rate, I go into a case to help the ends of justice and the work of the police.",suspicious_joined_common_words,into,43,47,,,
VOF,VOF_T00263,VOF_T00263_S02,Unknown,"If it were suicide, then we have to believe that this man began by taking off his wedding ring and concealing it; that he then came down here in his dressing gown, trampled mud into a corner behind the curtain in order to give the idea someone had waited for him, opened the window, put blood on the—",suspicious_joined_common_words,into,177,181,,,
VOF,VOF_T00270,VOF_T00270_S03,Unknown,"The man got into the house between four-thirty and six; that is to say, between dusk and the time when the bridge was raised.",suspicious_joined_common_words,into,12,16,,,
VOF,VOF_T00270,VOF_T00270_S07,Unknown,"He slipped into this room because it was the first he came to, and he hid behind the curtain.",suspicious_joined_common_words,into,11,15,,,
VOF,VOF_T00295,VOF_T00295_S02,White Mason,"An agent from such a society makes his way into the house, waits for mr. Douglas, blows his head nearly off with this weapon, and escapes by wading the moat, after leaving a card beside the dead man, which will, when mentioned in the papers, tell other members of the society that vengeance has been done.",suspicious_joined_common_words,into,43,47,,,
VOF,VOF_T00459,VOF_T00459_S10,Unknown,"That all fits into your hypothesis, Watson.",suspicious_joined_common_words,into,14,18,,,
VOF,VOF_T00459,VOF_T00459_S11,Unknown,"But now we come on the nasty, angular, uncompromising bits which won’t slip into their places.",suspicious_joined_common_words,into,76,80,,,
VOF,VOF_T00488,VOF_T00488_S02,Unknown,It could very well have fitted into his valise.,suspicious_joined_common_words,into,31,35,,,
VOF,VOF_T00491,VOF_T00491_S07,Holmes,"He slipped into the first room that he saw, and concealed himself behind the curtain.",suspicious_joined_common_words,into,11,15,,,
VOF,VOF_T00491,VOF_T00491_S09,Holmes,"He waited until quarter-past eleven, when mr. Douglas upon his usual nightly round came into the room.",suspicious_joined_common_words,into,88,92,,,
VOF,VOF_T00493,VOF_T00493_S01,the London inspector,"Well, mr. Holmes, if this is true, we only tumble out of one mystery into another, And in some ways a worse one,",suspicious_joined_common_words,into,69,73,,,
VOF,VOF_T00508,VOF_T00508_S03,Holmes,"When I went into this case with you I bargained, as you will no doubt remember, that I should not present you with half-proved theories, but that I should retain and work out my own ideas until I had satisfied myself that they were correct.",suspicious_joined_common_words,into,12,16,,,
VOF,VOF_T00571,VOF_T00571_S01,Unknown,"Here, as you perceive, is the inner pocket prolonged into the lining in such fashion as to give ample space for the truncated fowling piece.",suspicious_joined_common_words,into,53,57,,,
VOF,VOF_T00578,VOF_T00578_S01,She,"Enough and more than enough, I have every sympathy with you, madam, and should strongly urge you to have some confidence in the common sense of our jurisdiction and to take the police voluntarily into your complete confidence.",suspicious_joined_common_words,into,196,200,,,
VOF,VOF_T00582,VOF_T00582_S04,he,"I’ve been cooped up two days, and I’ve spent the daylight hours—as much daylight as I could get in that rat trap—in putting the thing into words.",suspicious_joined_common_words,into,134,138,,,
VOF,VOF_T00593,VOF_T00593_S06,Unknown,Why should I pull her into it?,suspicious_joined_common_words,into,22,26,,,
VOF,VOF_T00594,VOF_T00594_S07,Unknown,"“I was on my guard all that next day, and never went out into the park.",suspicious_joined_common_words,into,57,61,,,
VOF,VOF_T00594,VOF_T00594_S10,Unknown,I never dreamed of his getting into the house and waiting for me.,suspicious_joined_common_words,into,31,35,,,
VOF,VOF_T00595,VOF_T00595_S06,Unknown,"We tied all his things into a bundle, and I weighted them with the only weight I could find and put them through the window.",suspicious_joined_common_words,into,23,27,,,
VOF,VOF_T00596,VOF_T00596_S12,Unknown,"I retired into it, and it was up to Barker to do the rest. “I guess you can fill in for yourselves what he did.",suspicious_joined_common_words,into,10,14,,,
VOF,VOF_T00597,VOF_T00597_S03,Unknown,"But I would ask you how did this man know that you lived here, or how to get into your house, or where to hide to get you?",suspicious_joined_common_words,into,77,81,,,
VOF,VOF_T00774,VOF_T00774_S02,he,"I’ll have to look a bit closer into this, Mister—",suspicious_joined_common_words,into,31,35,,,
VOF,VOF_T00802,VOF_T00802_S01,Unknown,"See here, mister, you can’t expect me, as Bodymaster, to pass into the lodge a man for whose past he can’t answer.",suspicious_joined_common_words,into,62,66,,,
VOF,VOF_T00809,VOF_T00809_S01,Unknown,"Well, it means to pass the dollars out into circulation.",suspicious_joined_common_words,into,39,43,,,
VOF,VOF_T00921,VOF_T00921_S01,Unknown,And who bought the mines of Todman and of Lee that came into the market in the same way last year?,suspicious_joined_common_words,into,56,60,,,
VOF,VOF_T00939,VOF_T00939_S01,Unknown,and I could put two hundred men into this town that would clear it out from end to end.,suspicious_joined_common_words,into,32,36,,,
VOF,VOF_T01018,VOF_T01018_S01,he,"I thought you’d be getting into trouble, mr. Crooked McMurdo of Chicago, Can’t keep out of it, can you?",suspicious_joined_common_words,into,27,31,,,
VOF,VOF_T01019,VOF_T01019_S01,McGinty,"I guess you’ll pay for this, Captain Marvin, Who are you, I’d like to know, to break into a house in this fashion and molest honest, law-abiding men?",suspicious_joined_common_words,into,85,89,,,
VOF,VOF_T01165,VOF_T01165_S02,he,"I have information that the most powerful and richest organizations in this state have bound themselves together for our destruction, and that at this very moment there is a Pinkerton detective, one Birdy Edwards, at work in the valley collecting the evidence which may put a rope round the necks of many of us, and send every man in this room into a felon’s cell.",suspicious_joined_common_words,into,344,348,,,
VOF,VOF_T01167,VOF_T01167_S01,Unknown,"It is in this letter which has come into my hands, It is a matter of honour with me that I can give no further particulars about the letter, nor put it into your hands; but I assure you that there is nothing else in it which can affect the interests of the lodge.",suspicious_joined_common_words,into,36,40,,,
VOF,VOF_T01167,VOF_T01167_S01,Unknown,"It is in this letter which has come into my hands, It is a matter of honour with me that I can give no further particulars about the letter, nor put it into your hands; but I assure you that there is nothing else in it which can affect the interests of the lodge.",suspicious_joined_common_words,into,152,156,,,
VOF,VOF_T01182,VOF_T01182_S01,Unknown,Because I fell into talk with him.,suspicious_joined_common_words,into,15,19,,,
VOF,VOF_T01186,VOF_T01186_S03,Unknown,"I chanced into the telegraph bureau, and he was leaving it.",suspicious_joined_common_words,into,10,14,,,
