turn_id,old_speaker,new_speaker,old_confidence,new_confidence,dialogue
VOF_T00240,Holmes in his most,Holmes,high,high,
VOF_T00250,White Mason cordially,White Mason,high,high,
VOF_T00312,White Mason as we,White Mason,high,high,
VOF_T00441,the woman in a,Unknown,high,review,
VOF_T00478,Holmes gleefully,Holmes,high,high,
VOF_T00508,Holmes sympathetically,Holmes,high,high,
VOF_T00557,the London detective with,Unknown,high,review,
VOF_T00592,Douglas approvingly,Douglas,high,high,
VOF_T00643,McMurdo in cold fury,McMurdo,high,high,
VOF_T00710,McMurdo earnestly,McMurdo,high,high,
VOF_T00751,Baldwin with an oath,Baldwin,high,high,
VOF_T00766,a voice from the,Unknown,high,review,
VOF_T00804,McMurdo meekly,McMurdo,high,high,
VOF_T00829,Baldwin in a fury,Baldwin,high,high,
VOF_T00869,McMurdo in no very,McMurdo,high,high,
VOF_T00871,of making what they,Unknown,high,review,
VOF_T00905,the man with a,Unknown,high,review,
VOF_T00907,the black-maned Bodymaster from,Unknown,high,review,
VOF_T00962,Morris with vehemence,Morris,high,high,
VOF_T00966,Morris bitterly,Morris,high,high,
VOF_T00981,McMurdo abruptly,McMurdo,high,high,
VOF_T01037,the oldsters to one,Unknown,high,review,
VOF_T01079,present at what they,Unknown,high,review,
VOF_T01160,his neighbour as he,Unknown,high,review,
VOF_T01202,McGinty with an oath,McGinty,high,high,
VOF_T01211,McGinty grimly,McGinty,high,high,
VOF_T01237,Boss McGinty at last,Boss McGinty,high,high,
