text_id,turn_id,speaker,dialogue_text,context_before,matched_dialogue,context_after
VOF,VOF_T00005,I,"I am inclined to think— I should do so,",,,
VOF,VOF_T00006,I,"Really, Holmes, you are a little trying at times.",,,
VOF,VOF_T00007,he,"It is Porlock’s writing, I can hardly doubt that it is Porlock’s writing, though I have seen it only twice before. The Greek e with the peculiar top flourish is distinctive. But if it is Porlock, then it must be something of the very first importance.",,,
VOF,VOF_T00013,Holmes,"A touch! A distinct touch! You are developing a certain unexpected vein of pawky humour, Watson, against which I must learn to guard myself. But in calling Moriarty a criminal you are uttering libel in the eyes of the law—and there lie the glory and the wonder of it! The greatest schemer of all time, the organizer of every deviltry, the controlling brain of the underworld, a brain which might have made or marred the destiny of nations—that’s the man! But so aloof is he from general suspicion, so immune from criticism, so admirable in his management and self-effacement, that for those very words that you have uttered he could hale you to a court and emerge with your year’s pension as a solatium for his wounded character. Is he not the celebrated author of The Dynamics of an Asteroid, a book which ascends to such rarefied heights of pure mathematics that it is said that there was no man in the scientific press capable of criticizing it? Is this a man to traduce? Foul-mouthed doctor and slandered professor—such would be your respective rôles! That’s genius, Watson. But if I am spared by lesser men, our day will surely come.",,,
VOF,VOF_T00029,Holmes,"The same writing, and actually signed,",,,
VOF,VOF_T00040,I,"No doubt, Of course.",,,
VOF,VOF_T00042,he,I wonder! Perhaps there are points which have escaped your Machiavellian intellect. Let us consider the problem in the light of pure reason. This man’s reference is to a book. That is our point of departure.,,,
VOF,VOF_T00066,I,"What a queer, scrambling way of expressing his meaning! On the contrary, he has done quite remarkably well,",,,
VOF,VOF_T00068,he,"You are an early bird, Mr. Mac, I wish you luck with your worm. I fear this means that there is some mischief afoot.",,,
VOF,VOF_T00075,he,"Just this, that Mr. Douglas of Birlstone Manor House was horribly murdered last night!",,,
VOF,VOF_T00076,he,Remarkable! Remarkable!,,,
VOF,VOF_T00079,he,"I was going down to Birlstone this morning, I had come to ask you if you cared to come with me—you and your friend here. But from what you say we might perhaps be doing better work in London.",,,
VOF,VOF_T00080,Holmes,"I rather think not, Hang it all, Mr. Holmes!",,,
VOF,VOF_T00116,Holmes,"All knowledge comes useful to the detective, Even the trivial fact that in the year 1865 a picture by Greuze entitled ‘La Jeune Fille à l’Agneau’ fetched one million two hundred thousand francs—more than forty thousand pounds—at the Portalis sale may start a train of reflection in your mind.",,,
VOF,VOF_T00118,Holmes,that the professor’s salary can be ascertained in several trustworthy books of reference. It is seven hundred a year.,"be the connection between this dead painting man and the affair at Birlstone?” “All knowledge comes useful to the detective,” remarked Holmes. “Even the trivial fact that in the year 1865 a picture by Greuze entitled ‘La Jeune Fille à l’Agneau’ fetched one million two hundred thousand francs—more than forty thousand pounds—at the Portalis sale may start a train of reflection in your mind.” It was clear that it did. The inspector looked honestly interested. “I may remind you,” Holmes continued, “",that the professor’s salary can be ascertained in several trustworthy books of reference. It is seven hundred a year.,"” “Then how could he buy—” “Quite so! How could he?” “Ay, that’s remarkable,” said the inspector thoughtfully. “Talk away, Mr. Holmes. I’m just loving it. It’s fine!” Holmes smiled. He was always warmed by genuine admiration—the characteristic of the real artist. “What about Birlstone?” he asked. “We’ve time yet,” said the inspector, glancing at his watch. “I’ve a cab at the door, and it won’t take us twenty minutes to Victoria. But about this picture: I thought you told me once, Mr. Holmes, tha"
VOF,VOF_T00121,the inspector,"Ay, that’s remarkable, Talk away, Mr. Holmes. I’m just loving it. It’s fine!",,,
VOF,VOF_T00123,the inspector,"We’ve time yet, I’ve a cab at the door, and it won’t take us twenty minutes to Victoria. But about this picture: I thought you told me once, Mr. Holmes, that you had never met Professor Moriarty.",,,
VOF,VOF_T00145,he,"He can keep, anyhow, You’ve got us side-tracked with your interesting anecdotes, Mr. Holmes. What really counts is your remark that there is some connection between the professor and the crime. That you get from the warning received through the man Porlock. Can we for our present practical needs get any further than that?",,,
VOF,VOF_T00151,MacDonald,"Then to Birlstone we must go! My word! it’s later than I thought. I can give you, gentlemen, five minutes for preparation, and that is all.",,,
VOF,VOF_T00152,Holmes,"And ample for us both, While we are on our way, Mr. Mac, I will ask you to be good enough to tell me all about it.",,,
VOF,VOF_T00155,Holmes,"Your friend seems to be no fool, No, sir, White Mason is a very live man, if I am any judge.",,,
VOF,VOF_T00161,Ames,"An easy-going, free-handed gentleman, But, my word! I had rather not be the man that crossed him!",,,
VOF,VOF_T00163,Cecil Barker,"Nothing has been touched up to now, I’ll answer for that. You see it all exactly as I found it.",,,
VOF,VOF_T00180,the doctor,Horrible enough! I’ve never seen such injuries since the Birlstone railway smash.,,,
VOF,VOF_T00181,the police sergeant,"But, I say, It’s all very well your saying that a man escaped by wading this moat, but what I ask you is, how did he ever get into the house at all if the bridge was up?",,,
