text_id,turn_id,sentence_id,speaker,current_text,classification,beginning_fragment,beginning_found,ending_fragment,ending_found,short_beginning_found,short_ending_found
VOF,VOF_T00003,VOF_T00003_S01,Unknown,"If your heart is as big as your body, and your soul as fine as your face, then I’d ask for nothing better, Oh, Jack, I implore you to give it up!",both_fragments_found,If your heart is as big as your,True,"Jack, I implore you to give it up!",True,True,True
VOF,VOF_T00005,VOF_T00005_S01,I,"I am inclined to think— I should do so,",short_fragment_only,I am inclined to think- I should do,False,"am inclined to think- I should do so,",False,True,True
VOF,VOF_T00006,VOF_T00006_S01,I,"Really, Holmes, you are a little trying at times.",short_fragment_only,"Really, Holmes, you are a little trying at",False,"Holmes, you are a little trying at times.",False,False,True
VOF,VOF_T00007,VOF_T00007_S01,he,"It is Porlock’s writing, I can hardly doubt that it is Porlock’s writing, though I have seen it only twice before.",ending_only,"It is Porlock's writing, I can hardly doubt",False,though I have seen it only twice before.,True,True,True
VOF,VOF_T00029,VOF_T00029_S01,Holmes,"The same writing, and actually signed,",no_fragment_found,"The same writing, and actually signed,",False,"The same writing, and actually signed,",False,False,False
VOF,VOF_T00040,VOF_T00040_S01,I,"No doubt, Of course.",no_fragment_found,"No doubt, Of course.",False,"No doubt, Of course.",False,False,False
VOF,VOF_T00068,VOF_T00068_S01,he,"You are an early bird, mr. Mac, I wish you luck with your worm.",short_fragment_only,"You are an early bird, mr. Mac, I",False,"Mac, I wish you luck with your worm.",False,True,True
VOF,VOF_T00075,VOF_T00075_S01,he,"Just this, that mr. Douglas of Birlstone Manor House was horribly murdered last night!",ending_only,"Just this, that mr. Douglas of Birlstone Manor",False,Birlstone Manor House was horribly murdered last night!,True,False,True
VOF,VOF_T00079,VOF_T00079_S01,he,"I was going down to Birlstone this morning, I had come to ask you if you cared to come with me—you and your friend here.",both_fragments_found,"I was going down to Birlstone this morning,",True,to come with me-you and your friend here.,True,True,True
VOF,VOF_T00080,VOF_T00080_S01,Holmes,"I rather think not, Hang it all, mr. Holmes!",short_fragment_only,"I rather think not, Hang it all, mr.",False,"rather think not, Hang it all, mr. Holmes!",False,True,True
VOF,VOF_T00116,VOF_T00116_S01,Holmes,"All knowledge comes useful to the detective, Even the trivial fact that in the year 1865 a picture by Greuze entitled ‘La Jeune Fille à l’Agneau’ fetched one million two hundred thousand francs—more than forty thousand pounds—at the Portalis sale may start a train of reflection in your mind.",ending_only,"All knowledge comes useful to the detective, Even",False,start a train of reflection in your mind.,True,True,True
VOF,VOF_T00121,VOF_T00121_S01,the inspector,"Ay, that’s remarkable, Talk away, mr. Holmes.",short_fragment_only,"Ay, that's remarkable, Talk away, mr. Holmes.",False,"Ay, that's remarkable, Talk away, mr. Holmes.",False,False,True
