text_id,turn_id,speaker,dialogue_text,sentence_count,review_reason
VOF,VOF_T00009,Unknown,"Porlock, Watson, is a nom-de-plume, a mere identification mark; but behind it lies a shifty and evasive personality. In a former letter he frankly informed me that the name was not his own, and defied me ever to trace him among the teeming millions of this great city. Porlock is important, not for himself, but for the great man with whom he is in touch. Picture to yourself the pilot fish with the shark, the jackal with the lion—anything that is insignificant in companionship with what is formidable: not only formidable, Watson, but sinister—in the highest degree sinister. That is where he comes within my purview. You have heard me speak of Professor Moriarty?",6,contains_em_dash
VOF,VOF_T00013,Holmes,"A touch! A distinct touch! You are developing a certain unexpected vein of pawky humour, Watson, against which I must learn to guard myself. But in calling Moriarty a criminal you are uttering libel in the eyes of the law—and there lie the glory and the wonder of it! The greatest schemer of all time, the organizer of every deviltry, the controlling brain of the underworld, a brain which might have made or marred the destiny of nations—that’s the man! But so aloof is he from general suspicion, so immune from criticism, so admirable in his management and self-effacement, that for those very words that you have uttered he could hale you to a court and emerge with your year’s pension as a solatium for his wounded character. Is he not the celebrated author of The Dynamics of an Asteroid, a book which ascends to such rarefied heights of pure mathematics that it is said that there was no man in the scientific press capable of criticizing it? Is this a man to traduce? Foul-mouthed doctor and slandered professor—such would be your respective rôles! That’s genius, Watson. But if I am spared by lesser men, our day will surely come.",11,contains_em_dash
VOF,VOF_T00016,Unknown,"Ah, yes—the so-called Porlock is a link in the chain some little way from its great attachment. Porlock is not quite a sound link—between ourselves. He is the only flaw in that chain so far as I have been able to test it.",3,contains_em_dash
VOF,VOF_T00018,Unknown,"Exactly, my dear Watson! Hence the extreme importance of Porlock. Led on by some rudimentary aspirations towards right, and encouraged by the judicious stimulation of an occasional ten-pound note sent to him by devious methods, he has once or twice given me advance information which has been of value—that highest value which anticipates and prevents rather than avenges crime. I cannot doubt that, if we had the cipher, we should find that this communication is of the nature that I indicate.",4,contains_em_dash
VOF,VOF_T00031,Unknown,"Dear me, this is very disappointing! I fear, Watson, that all our expectations come to nothing. I trust that the man Porlock will come to no harm. “‘Dear Mr. Holmes,’ he says, ‘I will go no further in this matter. It is too dangerous—he suspects me. I can see that he suspects me. He came to me quite unexpectedly after I had actually addressed this envelope with the intention of sending you the key to the cipher. I was able to cover it up. If he had seen it, it would have gone hard with me. But I read suspicion in his eyes. Please burn the cipher message, which can now be of no use to you. “‘FRED PORLOCK.’",12,contains_em_dash
VOF,VOF_T00037,Unknown,"Hum! That’s a large question. When you have one of the first brains of Europe up against you, and all the powers of darkness at his back, there are infinite possibilities. Anyhow, Friend Porlock is evidently scared out of his senses—kindly compare the writing in the note to that upon its envelope; which was done, he tells us, before this ill-omened visit. The one is clear and firm. The other hardly legible.",6,contains_em_dash
VOF,VOF_T00052,Unknown,"Surely you do yourself an injustice. One more coruscation, my dear Watson—yet another brain-wave! Had the volume been an unusual one, he would have sent it to me. Instead of that, he had intended, before his plans were nipped, to send me the clue in this envelope. He says so in his note. This would seem to indicate that the book is one which he thought I would have no difficulty in finding for myself. He had it—and he imagined that I would have it, too. In short, Watson, it is a very common book.",8,contains_em_dash
VOF,VOF_T00065,Unknown,"We are before our time, and suffer the usual penalties. Being the seventh of January, we have very properly laid in the new almanac. It is more than likely that Porlock took his message from the old one. No doubt he would have told us so had his letter of explanation been written. Now let us see what page 534 has in store for us. Number thirteen is ‘There,’ which is much more promising. Number one hundred and twenty-seven is ‘is’—‘There is’ “—Holmes’s eyes were gleaming with excitement, and his thin, nervous fingers twitched as he counted the words—“‘danger.’ Ha! Ha! Capital! Put that down, Watson. ‘There is danger—may—come—very soon—one.’ Then we have the name ‘Douglas’—‘rich—country—now—at Birlstone—House—Birlstone—confidence—is—pressing.’ There, Watson! What do you think of pure reason and its fruit? If the green-grocer had such a thing as a laurel wreath, I should send Billy round for it.",13,contains_em_dash
VOF,VOF_T00067,Unknown,"When you search a single column for words with which to express your meaning, you can hardly expect to get everything you want. You are bound to leave something to the intelligence of your correspondent. The purport is perfectly clear. Some deviltry is intended against one Douglas, whoever he may be, residing as stated, a rich country gentleman. He is sure—‘confidence’ was as near as he could get to ‘confident’—that it is pressing. There is our result—and a very workmanlike little bit of analysis it was!",6,contains_em_dash
VOF,VOF_T00070,Unknown,"Well, maybe a wee nip would keep out the raw morning chill. No, I won’t smoke, I thank you. I’ll have to be pushing on my way; for the early hours of a case are the precious ones, as no man knows better than your own self. But—but—",4,contains_em_dash
