turn_id,speaker,dialogue_text,context_before,context_after,extraction_confidence
VOF_T00222,White Mason in great,"I thought you would say so, Mr. Holmes, We’re well up with the times in Sussex. I’ve told you now how matters were, up to the time when I took over from Sergeant Wilson between three and four this morning. My word! I made the old mare go! But I need not have been in such a hurry, as it turned out; for there was nothing immediate that I could do. Sergeant Wilson had all the facts. I checked them and considered them and maybe added a few of my own.",,,high
VOF_T00240,Holmes in his most,"Well, state your case, Mr. Mac, The man is not a burglar, supposing that he ever existed. The ring business and the card point to premeditated murder for some private reason. Very good. Here is a man who slips into a house with the deliberate intention of committing murder. He knows, if he knows anything, that he will have a deeficulty in making his escape, as the house is surrounded with water. What weapon would he choose? You would say the most silent in the world. Then he could hope when the deed was done to slip quickly from the window, to wade the moat, and to get away at his leisure. That’s understandable. But is it understandable that he should go out of his way to bring with him the most noisy weapon he could select, knowing well that it will fetch every human being in the house to the spot as quick as they can run, and that it is all odds that he will be seen before he can get across the moat? Is that credible, Mr. Holmes?",,,high
VOF_T00250,White Mason cordially,"I am sure we are honoured by your presence and to show you all we know, Come along, Dr. Watson, and when the time comes we’ll all hope for a place in your book.","cause they have first separated themselves from me. I have no wish ever to score at their expense. At the same time, Mr. White Mason, I claim the right to work in my own way and give my results at my own time—complete rather than in stages.” “","ll we know,” said White Mason cordially. “Come along, Dr. Watson, and when the time comes we’ll all hope for a place in your book.” We walked down the quaint village street with a row of pollarded elms on each side of it. Just beyond were two a",high
VOF_T00312,White Mason as we,"Have you seen all you want of the study? For the time,",,,high
VOF_T00441,the woman in a,"One moment, Dr. Watson, There is one question which you can answer with more authority than anyone else in the world, and it may make a very great difference to me. You know Mr. Holmes and his relations with the police better than anyone else can. Supposing that a matter were brought confidentially to his knowledge, is it absolutely necessary that he should pass it on to the detectives?",,,high
VOF_T00508,Holmes sympathetically,"Dear me! Now, Mr. Mac and you, Mr. White Mason, I wish to give you a very earnest piece of advice. When I went into this case with you I bargained, as you will no doubt remember, that I should not present you with half-proved theories, but that I should retain and work out my own ideas until I had satisfied myself that they were correct. For this reason I am not at the present moment telling you all that is in my mind. On the other hand, I said that I would play the game fairly by you, and I do not think it is a fair game to allow you for one unnecessary moment to waste your energies upon a profitless task. Therefore I am here to advise you this morning, and my advice to you is summed up in three words—abandon the case.",,,high
VOF_T00557,the London detective with,"Well, I hope the pride and justification and the rest of it will come before we all get our death of cold, How long is this to last?","k? At the present moment you thrill with the glamour of the situation and the anticipation of the hunt. Where would be that thrill if I had been as definite as a timetable? I only ask a little patience, Mr. Mac, and all will be clear to you.” “","will come before we all get our death of cold,” said the London detective with comic resignation. We all had good reason to join in the aspiration; for our vigil was a long and bitter one. Slowly the shadows darkened over the long, sombre face",high
VOF_T00630,McMurdo with the air,"It’s early days to talk of such things, I’ve my own good reasons for leaving Chicago, and let that be enough for you. Who are you that you should take it on yourself to ask such things?",,,high
VOF_T00643,McMurdo in cold fury,"I’m new to the place; but I’m not new to you and your kind! I guess you’re the same in all places, shoving your advice in when nobody asks for it.",,,high
VOF_T00644,one of the patrolmen,"Maybe we’ll see more of you before very long, You’re a real hand-picked one, if I am a judge.",,,high
VOF_T00751,Baldwin with an oath,"Oh, it’s Jack, is it? You’ve come to that already, have you?",,,high
VOF_T00766,a voice from the,"He’s Councillor McGinty, young man, I’m sorry, Councillor. I’m strange to the ways of the place. But I was advised to see you.",,,high
VOF_T00829,Baldwin in a fury,"Never! I’ve offered to fight him if he thinks I have wronged him,",,,high
VOF_T00869,McMurdo in no very,"Well, I suppose you mean well, and I do thank you, It’s mum with me so long as I see you living on the straight,",,,high
VOF_T00871,of making what they,a clean job.,"ngerous gang of murderers, whose minds had suffered such complete moral perversion that they took a horrible pride in their proficiency at the business, and looked with deepest respect at the man who had the reputation of making what they called “","” To their contorted natures it had become a spirited and chivalrous thing to volunteer for service against some man who had never injured them, and whom in many cases they had never seen in their lives. The crime committed, they quarrelled as",high
VOF_T00905,the man with a,"The business end of a buckshot cartridge! What think you of our ways, Brother?",,,high
VOF_T00907,the black-maned Bodymaster from,"What’s that? ’Tis our new brother, sir, who finds our ways to his taste.",,,high
VOF_T00935,a dozen fierce voices,"Kill him! I protest against that,",,,high
VOF_T00949,Baldwin to McMurdo,"Here, you, you can stand below at the door and see that the road is kept open for us. Arthur Willaby can stay with you. You others come with me. Have no fears, boys; for we have a dozen witnesses that we are in the Union Bar at this very moment.",,,high
VOF_T00955,one of the men,"It’s truth he says, By Gar! you’d best hurry yourselves!",,,high
VOF_T00962,Morris with vehemence,"No, no, not always, Whatever we say, even what we think, seems to go back to that man McGinty.",,,high
VOF_T01037,the oldsters to one,"He’ll be the boy for the clean job, It’s you!",,,high
VOF_T01079,present at what they,the fun.,"you won’t tell us we can’t make you; but I’d be glad to know.” Lawler smiled and shook his head. He was not to be drawn. In spite of the reticence of their guests, Scanlan and McMurdo were quite determined to be present at what they called “","” When, therefore, at an early hour one morning McMurdo heard them creeping down the stairs he awakened Scanlan, and the two hurried on their clothes. When they were dressed they found that the others had stolen out, leaving the door open behind",high
VOF_T01160,his neighbour as he,"It’s Lander and Egan, They both claim the head money given by the lodge for the shooting of old man Crabbe over at Stylestown, and who’s to say which fired the bullet?",,,high
VOF_T01168,one of the older,"Let me say, Mr. Chairman, that I have heard of Birdy Edwards, and that he has the name of being the best man in the Pinkerton service.",,,high
VOF_T01202,McGinty with an oath,I’ll fix the old devil! I’ve had my eye on him this year past.,,,high
VOF_T01237,Boss McGinty at last,Well! Is he here? Is Birdy Edwards here?,,,high
