text_id,turn_id,sentence_id,speaker,current_text,normal_match,aggressive_match,diagnosis
VOF,VOF_T00001,VOF_T00001_S01,Unknown,"What’s this, mr. Holmes?",False,True,found_after_aggressive_normalization
VOF,VOF_T00003,VOF_T00003_S01,Unknown,"If your heart is as big as your body, and your soul as fine as your face, then I’d ask for nothing better, Oh, Jack, I implore you to give it up!",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00005,VOF_T00005_S01,I,"I am inclined to think— I should do so,",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00006,VOF_T00006_S01,I,"Really, Holmes, you are a little trying at times.",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00007,VOF_T00007_S01,he,"It is Porlock’s writing, I can hardly doubt that it is Porlock’s writing, though I have seen it only twice before.",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00029,VOF_T00029_S01,Holmes,"The same writing, and actually signed,",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00031,VOF_T00031_S04,Unknown,"“‘Dear mr. Holmes,’ he says, ‘I will go no further in this matter.",False,True,found_after_aggressive_normalization
VOF,VOF_T00040,VOF_T00040_S01,I,"No doubt, Of course.",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00068,VOF_T00068_S01,he,"You are an early bird, mr. Mac, I wish you luck with your worm.",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00069,VOF_T00069_S01,Unknown,"If you said ‘hope’ instead of ‘fear,’ it would be nearer the truth, I’m thinking, mr. Holmes,",False,True,found_after_aggressive_normalization
VOF,VOF_T00072,VOF_T00072_S02,Unknown,"What’s this, mr. Holmes?",False,True,found_after_aggressive_normalization
VOF,VOF_T00073,VOF_T00073_S01,Unknown,"What’s this, mr. Holmes?",False,True,found_after_aggressive_normalization
VOF,VOF_T00074,VOF_T00074_S01,Unknown,It is a cipher that dr. Watson and I have had occasion to solve.,False,True,found_after_aggressive_normalization
VOF,VOF_T00075,VOF_T00075_S01,he,"Just this, that mr. Douglas of Birlstone Manor House was horribly murdered last night!",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00078,VOF_T00078_S01,Unknown,"Interested, mr. Mac, but hardly surprised.",False,True,found_after_aggressive_normalization
VOF,VOF_T00079,VOF_T00079_S01,he,"I was going down to Birlstone this morning, I had come to ask you if you cared to come with me—you and your friend here.",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00080,VOF_T00080_S01,Holmes,"I rather think not, Hang it all, mr. Holmes!",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00082,VOF_T00082_S01,Unknown,"No doubt, mr. Mac.",False,True,found_after_aggressive_normalization
VOF,VOF_T00088,VOF_T00088_S01,Unknown,no.,False,True,found_after_aggressive_normalization
VOF,VOF_T00095,VOF_T00095_S01,Unknown,"I won’t conceal from you, mr. Holmes, that we think in the C.I.D. that you have a wee bit of a bee in your bonnet over this professor.",False,True,found_after_aggressive_normalization
VOF,VOF_T00102,VOF_T00102_S01,Unknown,"Very fine—very handsome indeed, mr. Holmes.",False,True,found_after_aggressive_normalization
VOF,VOF_T00108,VOF_T00108_S01,Unknown,"I don’t miss much, mr. Holmes.",False,True,found_after_aggressive_normalization
VOF,VOF_T00115,VOF_T00115_S01,Unknown,"Your thoughts move a bit too quick for me, mr. Holmes.",False,True,found_after_aggressive_normalization
VOF,VOF_T00116,VOF_T00116_S01,Holmes,"All knowledge comes useful to the detective, Even the trivial fact that in the year 1865 a picture by Greuze entitled ‘La Jeune Fille à l’Agneau’ fetched one million two hundred thousand francs—more than forty thousand pounds—at the Portalis sale may start a train of reflection in your mind.",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00121,VOF_T00121_S01,the inspector,"Ay, that’s remarkable, Talk away, mr. Holmes.",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00123,VOF_T00123_S01,the inspector,"We’ve time yet, I’ve a cab at the door, and it won’t take us twenty minutes to Victoria.",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00123,VOF_T00123_S02,the inspector,"But about this picture: I thought you told me once, mr. Holmes, that you had never met Professor Moriarty.",False,True,found_after_aggressive_normalization
VOF,VOF_T00133,VOF_T00133_S01,Unknown,"Well, mr. Holmes, I admit that what you say is interesting: it’s more than interesting—it’s just wonderful.",False,True,found_after_aggressive_normalization
VOF,VOF_T00138,VOF_T00138_S01,Unknown,"mr. Mac, the most practical thing that you ever did in your life would be to shut yourself up for three months and read twelve hours a day at the annals of crime.",False,True,found_after_aggressive_normalization
VOF,VOF_T00145,VOF_T00145_S01,he,"He can keep, anyhow, You’ve got us side-tracked with your interesting anecdotes, mr. Holmes.",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00147,VOF_T00147_S01,Unknown,"Well, that is one suggestion, mr. Holmes.",False,True,found_after_aggressive_normalization
VOF,VOF_T00152,VOF_T00152_S01,Holmes,"And ample for us both, While we are on our way, mr. Mac, I will ask you to be good enough to tell me all about it.",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00154,VOF_T00154_S01,Unknown,"DEAR INSPECTOR MACDONALD, Official requisition for your services is in separate envelope.",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00154,VOF_T00154_S06,Unknown,"If you can bring mr. Holmes, please do so; for he will find something after his own heart.",False,True,found_after_aggressive_normalization
VOF,VOF_T00155,VOF_T00155_S01,Holmes,"Your friend seems to be no fool, No, sir, White Mason is a very live man, if I am any judge.",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00158,VOF_T00158_S01,Unknown,Then how did you get at mr. Douglas and the fact that he had been horribly murdered?,False,True,found_after_aggressive_normalization
VOF,VOF_T00159,VOF_T00159_S07,Unknown,"That’s absolutely all we have at present, mr. Holmes.",False,True,found_after_aggressive_normalization
VOF,VOF_T00160,VOF_T00160_S01,Unknown,"Then, with your permission, we will leave it at that, mr. Mac.",False,True,found_after_aggressive_normalization
VOF,VOF_T00161,VOF_T00161_S01,Ames,"An easy-going, free-handed gentleman, But, my word!",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00163,VOF_T00163_S01,Cecil Barker,"Nothing has been touched up to now, I’ll answer for that.",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00169,VOF_T00169_S01,Unknown,"no. I heard mrs. Douglas coming down the stair behind me, and I rushed out to prevent her from seeing this dreadful sight. mrs. Allen, the housekeeper, came and took her away.",False,True,found_after_aggressive_normalization
VOF,VOF_T00172,VOF_T00172_S02,Unknown,It is out of the question! mr. Douglas must have shot himself.,False,True,found_after_aggressive_normalization
VOF,VOF_T00179,VOF_T00179_S04,Unknown,"Then I heard the step of mrs. Douglas, and I could not let her enter the room.",False,True,found_after_aggressive_normalization
VOF,VOF_T00181,VOF_T00181_S01,the police sergeant,"But, I say, It’s all very well your saying that a man escaped by wading this moat, but what I ask you is, how did he ever get into the house at all if the bridge was up?",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00182,VOF_T00182_S01,Barker,"Ah, that’s the question, At what o’clock was it raised?",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00183,VOF_T00183_S01,Ames,"It was nearly six o’clock, I’ve heard,",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00185,VOF_T00185_S01,Ames,"mrs. Douglas had visitors to tea, I couldn’t raise it until they went.",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00186,VOF_T00186_S01,the sergeant,"Then it comes to this, If anyone came from outside—_if_ they did—they must have got in across the bridge before six and been in hiding ever since, until mr. Douglas came into the room after eleven.",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00187,VOF_T00187_S01,Unknown,That is so! mr. Douglas went round the house every night the last thing before he turned in to see that the lights were right.,False,True,found_after_aggressive_normalization
VOF,VOF_T00192,VOF_T00192_S03,Unknown,"What have you got there, dr. Wood?",False,True,found_after_aggressive_normalization
VOF,VOF_T00193,VOF_T00193_S01,Unknown,"mr. Douglas was altering the pictures yesterday,",False,True,found_after_aggressive_normalization
VOF,VOF_T00195,VOF_T00195_S01,the sergeant,"We’d best put it back on the rug where we found it, It will want the best brains in the force to get to the bottom of this thing.",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00198,VOF_T00198_S01,the butler,"When the lamps were lit, It would be shortly after four.",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00200,VOF_T00200_S01,Unknown,"I’m bound to say this bears out your theory, mr. Barker.",False,True,found_after_aggressive_normalization
VOF,VOF_T00200,VOF_T00200_S06,Unknown,"It is likely that his main idea was to burgle the house; but mr. Douglas chanced to come upon him, so he murdered him and escaped.",False,True,found_after_aggressive_normalization
VOF,VOF_T00201,VOF_T00201_S01,Barker,"That’s how I read it, But, I say, aren’t we wasting precious time?",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00205,VOF_T00205_S01,the doctor,"It’s not tattooed, I never saw anything like it.",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00206,VOF_T00206_S01,Cecil Barker,"I don’t profess to know the meaning of it, but I have seen the mark on Douglas many times this last ten years.",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00207,VOF_T00207_S01,the butler,"And so have I, Many a time when the master has rolled up his sleeves I have noticed that very mark.",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00208,VOF_T00208_S01,the sergeant,"Then it has nothing to do with the crime, anyhow, But it’s a rum thing all the same.",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00212,VOF_T00212_S01,Barker,"He’s right, Do you tell me,",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00217,VOF_T00217_S01,he,"Seems to me the sooner we get London on to this case the better, White Mason is a smart man.",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00218,VOF_T00218_S01,Unknown,"A real downright snorter, mr. MacDonald!",False,True,found_after_aggressive_normalization
VOF,VOF_T00219,VOF_T00219_S04,Unknown,"There are some bits that will come home to you, mr. Holmes, or I am mistaken.",False,True,found_after_aggressive_normalization
VOF,VOF_T00219,VOF_T00219_S05,Unknown,"And you also, dr. Watson; for the medicos will have a word to say before we finish.",False,True,found_after_aggressive_normalization
VOF,VOF_T00222,VOF_T00222_S01,White Mason in great,"I thought you would say so, mr. Holmes, We’re well up with the times in Sussex.",False,False,not_found_even_after_aggressive_normalization
VOF,VOF_T00223,VOF_T00223_S03,Holmes,There was dr. Wood there to help me.,False,True,found_after_aggressive_normalization
VOF,VOF_T00223,VOF_T00223_S05,Holmes,"I was hoping that if mr. Douglas defended himself with the hammer, he might have left his mark upon the murderer before he dropped it on the mat.",False,True,found_after_aggressive_normalization
